Hitter,Archetype,Pitcher,Month,Day,Year,Balls,Strikes,Inning,Pitch Type,Pitch Speed,Pitch Location,Result,BIP Location,Clicks - Hands Move,Bat Speed (MPH),Swing Length (ft),FPS,,
"Stanton, G.",Run Producer,"Soriano, J.",June,16,2025,3,2,B4,Fastball,97,Low In - Strike,Competitve Swing,Outfield Left,8.5,79.7,8.9,,,https://baseballsavant.mlb.com/statcast_search?hfPT=&hfAB=&hfGT=R%7C&hfPR=hit%5C.%5C.into%5C.%5C.play%7C&hfZ=&hfStadium=&hfBBL=&hfNewZones=&hfPull=&hfC=&hfSea=2025%7C&hfSit=&player_type=batter&hfOuts=&home_road=&pitcher_throws=&batter_stands=&hfSA=&hfEventOuts=&hfEventRuns=&game_date_gt=&game_date_lt=&hfMo=&hfTeam=&hfOpponent=&hfRO=&position=&hfInfield=&hfOutfield=&hfInn=&hfBBT=&batters_lookup%5B%5D=519317&hfFlag=is%5C.%5C.competitive%7C&metric_1=&group_by=name-event&min_pitches=0&min_results=0&min_pas=0&sort_col=pitches&player_event_sort=api_p_release_speed&sort_order=desc&chk_event_sweetspot_speed_mph=on&chk_event_swing_length=on#results
"Stanton, G.",Run Producer,"Bradish, K.",September,28,,3,2,B4,Fastball,96,Middle Middle - Strike,,Outfield Left,7.5,84.9,8.5,,,
"Stanton, G.",Run Producer,"Strowd, K.",September,28,2025,1,2,B8,Slider,85,Low Away - Ball,Competitve Swing,Infield Left,9,78.3,9.4,,,
"Stanton, G.",Run Producer,"Ragsdale, C.",September,27,2025,2,1,B8,Fastball,93,Low Middle - Strike,Competitve Swing,Infield Left,7.5,82.5,8.8,,,
"Stanton, G.",Run Producer,"Sugano, T.",September,27,2025,0,0,B2,Fastball,93,Low Middle - Strike,Competitve Swing,Home Run Right Center,7.5,82.8,8.8,,,
"Stanton, G.",Run Producer,"Selby, C.",September,26,2025,1,1,B5,Fastball,95,Middle Middle - Strike,Competitve Swing,Outfield Right,8,81.8,8.4,,,
"Stanton, G.",Run Producer,"Rogers, T.",September,26,2025,0,2,B1,Fastball,94,High Away - Strike,Competitve Swing,Home Run Right Center,8,80,7.9,,,
"Stanton, G.",Run Producer,"Castillo, J",September,26,2025,2,1,B7,Fastball,94,MIddle Away - Strike,Competitve Swing,Infield Left,8,81.7,8.8,,,
"Stanton, G.",Run Producer,"Rogers, T.",September,26,2025,0,0,B3,Changeup,84,Middle Away - Strike,Competitve Swing,Home Run Left Center,8.5,81.8,9,,,
"Stanton, G.",Run Producer,"Gilbert, T.",September,25,2025,0,1,B5,Fastball,88,High Middle - Strike,Competitve Swing,Infield Left Foul Line,8.5,84.6,9.1,,,
