#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Gonzalez, S. VS Potestio, A.","UC San Diego vs University of Hawaii, Manoa",,,,0:11.0,5/18/2025,"Gonzalez, S.","Potestio, A.",T3,1-1," - ",0,0-2,BIP,Fastball,90,Fly Ball,Flyout,
2,"Rodriguez, F. VS Potestio, A.","UC San Diego vs University of Hawaii, Manoa",,,,0:16.0,5/18/2025,"Rodriguez, F.","Potestio, A.",T5,2-7," - ",1,1-0,BIP,Fastball,90,Fly Ball,Flyout,
3,"Wood, T. VS Potestio, A.",UC Davis vs UC San Diego,,,,0:14.6,5/11/2025,"Wood, T.","Potestio, A.",B2,0-8,1B-2B-3B,2,3-2,BIP,Slider,81,Line Drive,Double,
4,"Valdez, N. VS Potestio, A.",UC Davis vs UC San Diego,,,,0:09.4,5/10/2025,"Valdez, N.","Potestio, A.",B4,2-6,2B,0,1-1,BIP,Changeup,76,Ground Ball,Groundout,
5,"Green, B. VS Potestio, A.",UC Davis vs UC San Diego,,,,0:10.5,5/9/2025,"Green, B.","Potestio, A.",B5,6-3," - ",1,0-0,BIP,Fastball,88,Ground Ball,Single,
6,"Hansen, T. VS Potestio, A.",UC San Diego vs UC Irvine,,,,0:16.7,5/3/2025,"Hansen, T.","Potestio, A.",T5,1-0," - ",1,1-0,BIP,Fastball,88,Fly Ball,Triple,
7,"Krodel, A. VS Potestio, A.",UC Santa Barbara vs UC San Diego,,,,0:12.9,4/27/2025,"Krodel, A.","Potestio, A.",B2,2-0,1B-2B,1,0-1,BIP,Fastball,91,Fly Ball,Flyout,
8,"DiGirolamo, M. VS Potestio, A.",UC San Diego vs UC Riverside,,,,0:09.9,4/18/2025,"DiGirolamo, M.","Potestio, A.",T4,5-0,1B-3B,0,3-1,BIP,Fastball,0,Ground Ball,Grounded Into Double Play,
9,"Godina, B. VS Potestio, A.",UC San Diego vs UC Riverside,,,,0:11.1,4/18/2025,"Godina, B.","Potestio, A.",T6,6-0," - ",1,1-1,BIP,Fastball,0,Line Drive,Single,
10,"Miranda, E. VS Potestio, A.",UC San Diego vs San Diego State University,,,,0:15.1,4/15/2025,"Miranda, E.","Potestio, A.",T5,5-0,1B,1,0-0,BIP,Fastball,87,Line Drive,Home Run,
11,"Shaw, C. VS Potestio, A.",UC San Diego vs San Diego State University,,,,0:14.4,4/15/2025,"Shaw, C.","Potestio, A.",T6,10-0," - ",2,1-1,BIP,Fastball,88,Line Drive,Double,
12,"Mendes, M. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:12.1,4/13/2025,"Mendes, M.","Potestio, A.",B1,1-0," - ",0,0-2,BIP,Slider,79,Line Drive,Single,
13,"Rinehart, N. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:13.1,4/13/2025,"Rinehart, N.","Potestio, A.",B3,1-11," - ",0,2-2,BIP,Fastball,89,Line Drive,Single,
14,"Mocherman, J. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:11.1,4/13/2025,"Mocherman, J.","Potestio, A.",B4,2-13,1B-3B,1,2-2,BIP,Slider,79,Ground Ball,Fielder's Choice - Out,
15,"Banuelos, J. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:11.5,4/13/2025,"Banuelos, J.","Potestio, A.",B6,4-14,2B,2,2-0,BIP,Fastball,86,Line Drive,Single,
16,"Zamudio, D. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:13.4,4/13/2025,"Zamudio, D.","Potestio, A.",B8,6-23,1B,1,0-0,BIP,Fastball,92,Fly Ball,Flyout,
17,"Gutierrez, D. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:08.9,4/12/2025,"Gutierrez, D.","Potestio, A.",B1,0-0," - ",0,1-2,BIP,Changeup,77,Ground Ball,Field Error,
18,"Gutierrez, D. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:15.1,4/12/2025,"Gutierrez, D.","Potestio, A.",B3,1-0," - ",1,1-0,BIP,Changeup,78,Fly Ball,Home Run,
19,"Gutierrez, D. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:08.7,4/12/2025,"Gutierrez, D.","Potestio, A.",B7,4-3," - ",0,1-1,BIP,Fastball,90,Line Drive,Lineout,
20,"Miller, L. VS Potestio, A.",Cal State-Northridge vs UC San Diego,,,,0:14.2,4/12/2025,"Miller, L.","Potestio, A.",B8,4-5,1B-2B,2,2-2,BIP,Fastball,84,Fly Ball,Home Run,
