,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Anthony Potestio,3.266,3.417,9,,0.329,0.457,0.49,0.151
On-Baser,3.283,3.433,9,,,,,0.15
West Coast,3.316,3.483,10,,,,,0.167
,3.333,3.5,10,,,,,0.167
,3.266,3.433,10,,,,,0.167
,3.284,3.435,,,,,,0.151
,3.283,3.433,9,,,,,0.15
,3.316,3.483,10,,,,,0.167
,3.283,3.433,9,,,,,0.15
,3.26,3.427,,,,,,0.167
,3.292,3.444,,,,,,0.152
,3.333,3.5,10,,,,,0.167
,3.3,3.467,10,,,,,0.167
,3.367,3.517,9,,,,,0.15
,3.333,3.483,9,,,,,0.15
,3.266,3.433,10,,,,,0.167
,3.35,3.509,9.5,,,,,0.159
,3.35,3.509,9.5,,,,,0.159
,3.283,3.433,9,,,,,0.15
,3.316,3.475,9.5,,,,,0.159
