#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Morano, J. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs Cal Poly",,,,0:10.4,5/24/2025,"Morano, J.","Zeigler-namoa, B.",T3,1-0," - ",0,0-0,BIP,Fastball,91,Ground Ball,Single,
2,"Faulks, R. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs Cal State Fullerton",,,,0:12.6,5/23/2025,"Faulks, R.","Zeigler-namoa, B.",T6,5-1," - ",2,2-2,BIP,Fastball,90,Fly Ball,Flyout,
3,"Wright, A. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs Cal State Fullerton",,,,0:09.4,5/23/2025,"Wright, A.","Zeigler-namoa, B.",T9,11-4,2B-3B,1,0-1,BIP,Slider,78,Ground Ball,Fielder's Choice - Safe,
4,"Kelly, R. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs UC Irvine",,,,0:11.2,5/22/2025,"Kelly, R.","Zeigler-namoa, B.",T1,0-0," - ",2,3-2,BIP,Fastball,93,Fly Ball,Flyout,
5,"Ojeda, R. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs UC Irvine",,,,0:12.2,5/22/2025,"Ojeda, R.","Zeigler-namoa, B.",T7,2-6,1B-2B,1,0-1,BIP,Fastball,93,Fly Ball,Home Run,
6,"Flora, J. VS Zeigler-namoa, B.","UC Santa Barbara vs University of Hawaii, Manoa",,,,0:08.5,5/21/2025,"Flora, J.","Zeigler-namoa, B.",B1,0-0," - ",2,1-1,BIP,Curveball,78,Fly Ball,Flyout,
7,"Flora, J. VS Zeigler-namoa, B.","UC Santa Barbara vs University of Hawaii, Manoa",,,,0:16.4,5/21/2025,"Flora, J.","Zeigler-namoa, B.",B5,2-1,1B-3B,1,0-1,BIP,Fastball,97,Fly Ball,Home Run,
8,"Hernandez, C. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs Cal State Fullerton",,,,0:12.4,5/11/2025,"Hernandez, C.","Zeigler-namoa, B.",T1,1-0,2B,0,0-1,BIP,Fastball,93,Line Drive,Single,
9,"Gurnea, C. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs Cal State Fullerton",,,,0:13.8,5/11/2025,"Gurnea, C.","Zeigler-namoa, B.",T4,5-1,3B,2,2-1,BIP,Cutter,86,Line Drive,Single,
10,"Harper, J. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs Cal State Fullerton",,,,0:09.5,5/10/2025,"Harper, J.","Zeigler-namoa, B.",T3,0-1," - ",2,0-0,BIP,Fastball,89,Fly Ball,Flyout,
11,"Turner, D. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs Cal State Fullerton",,,,0:14.6,5/10/2025,"Turner, D.","Zeigler-namoa, B.",T9,0-9," - ",1,2-1,BIP,Fastball,90,Fly Ball,Home Run,
12,"Queen, W. VS Zeigler-namoa, B.","Oregon State University vs University of Hawaii, Manoa",,,,0:10.1,5/5/2025,"Queen, W.","Zeigler-namoa, B.",B6,2-0,1B,1,3-2,BIP,Slider,83,Ground Ball,Grounded Into Double Play,
13,"Cody, C. VS Zeigler-namoa, B.","Chaminade Silverswords vs University of Hawaii, Manoa",,,,0:14.5,4/22/2025,"Cody, C.","Zeigler-namoa, B.",B5,4-2,1B-2B,2,3-1,BIP,Fastball,86,Fly Ball,Home Run,
14,"Brooks, R. VS Zeigler-Namoa, B.","University of Hawaii, Manoa vs UC Irvine",,,,0:12.7,4/19/2025,"Brooks, R.","Zeigler-Namoa, B.",T9,0-5," - ",1,0-0,BIP,Slider,77,Fly Ball,Flyout,
15,"Hansen, T. VS Zeigler-Namoa, B.","University of Hawaii, Manoa vs UC Irvine",,,,0:09.7,4/18/2025,"Hansen, T.","Zeigler-Namoa, B.",T4,0-2," - ",0,1-2,BIP,Fastball,0,Fly Ball,Flyout,
16,"Harbour, A. VS Zeigler-namoa, B.","University of Hawaii, Manoa vs University of Southern California",,,,0:12.3,4/15/2025,"Harbour, A.","Zeigler-namoa, B.",T3,2-0," - ",2,2-1,BIP,Fastball,90,Fly Ball,Home Run,
17,"Cushnie, B. VS Zeigler-Namoa, B.","University of Hawaii, Manoa vs University of Southern California",,,,0:13.4,4/15/2025,"Cushnie, B.","Zeigler-Namoa, B.",T7,3-4,1B,1,0-2,BIP,Slider,77,Line Drive,Lineout,
18,"Cooper, T. VS Zeigler-Namoa, B.","University of Hawaii, Manoa vs Cal Poly",,,,0:14.7,4/12/2025,"Cooper, T.","Zeigler-Namoa, B.",T9,4-11,1B,0,0-0,BIP,Fastball,89,Ground Ball,Double,
19,"Sagouspe, T. VS Zeigler-Namoa, B.","University of Hawaii, Manoa vs Cal Poly",,,,0:10.5,4/11/2025,"Sagouspe, T.","Zeigler-Namoa, B.",T9,1-2," - ",0,0-1,BIP,Curveball,80,Ground Ball,Single,
20,"Habermann, A. VS Zeigler-Namoa, B.","University of Hawaii, Manoa vs Santa Clara University",,,,0:23.3,4/8/2025,"Habermann, A.","Zeigler-Namoa, B.",T7,3-3," - ",0,0-1,BIP,Fastball,86,Fly Ball,Double,
