,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Bennett Zeigler-Namoa,3.276,3.409,,,0.333,0.409,0.509,0.133
Run Producer,3.271,3.422,,,,,,0.151
Big West,3.321,3.488,,,,,,0.167
,3.267,3.434,,,,,,0.167
,3.255,3.421,,,,,,0.166
,3.225,3.425,,,,,,0.2
,3.25,3.4,,,,,,0.15
,3.25,3.417,10,,,,,0.167
,3.283,3.45,10,,,,,0.167
,3.266,3.425,9.5,,,,,0.159
,3.267,3.417,9,,,,,0.15
,3.283,3.449,10,,,,,0.166
,3.266,3.433,,,,,,0.167
,3.354,3.505,,,,,,0.151
,3.225,3.425,,,,,,0.2
,3.25,3.417,,,,,,0.167
,3.216,3.383,,,,,,0.167
,3.266,3.433,10,,,,,0.167
,3.333,3.483,9,,,,,0.15
,3.266,3.425,9.5,,,,,0.159
