#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Baker, B. VS Cyr, B.",University of Florida vs Fairfield University,,,,0:12.6,5/31/2025,"Baker, B.","Cyr, B.",T4,0-0," - ",1,1-0,BIP,Changeup,78,Fly Ball,Home Run,
2,"Norby, E. VS Cyr, B.",East Carolina University vs University of Florida,,,,0:09.9,5/30/2025,"Norby, E.","Cyr, B.",B2,4-0," - ",0,0-1,BIP,Cutter,89,Ground Ball,Groundout,
3,"Norby, E. VS Cyr, B.",East Carolina University vs University of Florida,,,,0:13.5,5/30/2025,"Norby, E.","Cyr, B.",B4,9-1," - ",2,1-0,BIP,Slider,78,Fly Ball,Home Run,
4,"Stone, B. VS Cyr, B.",University of South Carolina vs University of Florida,,,,0:15.1,5/20/2025,"Stone, B.","Cyr, B.",B3,1-4," - ",1,0-0,BIP,Curveball,77,Fly Ball,Double,
5,"Morris, A. VS Cyr, B.",University of Alabama vs University of Florida,,,,0:15.5,5/17/2025,"Morris, A.","Cyr, B.",B5,1-3,1B,0,1-2,BIP,Slider,81,Ground Ball,Double,
6,"Quick, R. VS Cyr, B.",University of Alabama vs University of Florida,,,,0:10.5,5/16/2025,"Quick, R.","Cyr, B.",B3,2-2," - ",1,1-0,BIP,Slider,87,Fly Ball,Flyout,
7,"Fay, T. VS Cyr, B.",University of Alabama vs University of Florida,,,,0:14.7,5/15/2025,"Fay, T.","Cyr, B.",B4,5-0,1B-2B,0,2-2,BIP,Slider,80,Fly Ball,Flyout,
8,"Harrison, L. VS Cyr, B.",University of Florida vs University of Texas,,,,0:11.7,5/10/2025,"Harrison, L.","Cyr, B.",T2,0-0," - ",0,3-2,BIP,Cutter,88,Ground Ball,Single,
9,"Yorek, L. VS Cyr, B.",University of South Florida vs University of Florida,,,,0:10.1,5/6/2025,"Yorek, L.","Cyr, B.",B2,0-0," - ",0,0-1,BIP,Fastball,92,Fly Ball,Flyout,
10,"Crowther, A. VS Cyr, B.",University of Florida vs University of South Carolina,,,,0:11.0,5/4/2025,"Crowther, A.","Cyr, B.",T4,1-0," - ",0,1-1,BIP,Fastball,90,Ground Ball,Single,
11,"McCoy, J. VS Cyr, B.",University of Florida vs University of South Carolina,,,,0:12.1,5/3/2025,"McCoy, J.","Cyr, B.",T1,0-0,2B,2,1-0,BIP,Slider,83,Fly Ball,Double,
12,"Eskew, D. VS Cyr, B.",University of Florida vs University of South Carolina,,,,0:10.3,5/3/2025,"Eskew, D.","Cyr, B.",T4,1-0," - ",0,1-0,BIP,Fastball,0,Line Drive,Single,
13,"Beidelschies, L. VS Cyr, B.",University of Arkansas vs University of Florida,,,,0:14.5,4/27/2025,"Beidelschies, L.","Cyr, B.",B1,0-0,3B,2,2-1,BIP,Slider,83,Line Drive,Double,
14,"Bybee, B. VS Cyr, B.",University of Arkansas vs University of Florida,,,,0:10.8,4/27/2025,"Bybee, B.","Cyr, B.",B3,5-2,2B,2,1-0,BIP,Slider,85,Fly Ball,Flyout,
15,"Root, Z. VS Cyr, B.",University of Arkansas vs University of Florida,,,,0:13.3,4/25/2025,"Root, Z.","Cyr, B.",B4,2-1,1B-2B,1,0-1,BIP,Fastball,92,Ground Ball,Single,
16,"Davis, B. VS Cyr, B.",University of Florida vs Mississippi State University,,,,0:12.9,4/19/2025,"Davis, B.","Cyr, B.",T5,3-2,2B,2,1-1,BIP,Slider,90,Ground Ball,Groundout,
17,"Williams, N. VS Cyr, B.",University of Florida vs Mississippi State University,,,,0:14.8,4/19/2025,"Williams, N.","Cyr, B.",T7,5-6,1B-2B-3B,0,3-1,BIP,Fastball,95,Line Drive,Ground Rule Double,
18,"Spoljaric, T. VS Cyr, B.",Stetson University vs University of Florida,,,,0:16.2,4/15/2025,"Spoljaric, T.","Cyr, B.",B6,4-9,2B,2,3-2,BIP,Fastball,89,Fly Ball,Home Run,
19,"Lovett, X. VS Cyr, B.",University of Missouri vs University of Florida,,,,0:14.3,4/12/2025,"Lovett, X.","Cyr, B.",B4,1-0,1B,1,2-2,BIP,Fastball,92,Line Drive,Home Run,
20,"Kehlenbrink, B. VS Cyr, B.",University of Missouri vs University of Florida,,,,0:15.7,4/10/2025,"Kehlenbrink, B.","Cyr, B.",B1,0-4," - ",0,1-1,BIP,Changeup,79,Fly Ball,Home Run,
