,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Blake Cyr,3.734,3.884,9,,0.254,0.358,0.429,0.15
Run Producer,3.316,3.467,9,,,,,0.151
SEC,3.333,3.492,9.5,,,,,0.159
,3.322,3.489,,,,,,0.167
,3.317,3.467,9,,,,,0.15
,3.3,3.45,9,,,,,0.15
,3.333,3.483,9,,,,,0.15
,3.283,3.433,9,,,,,0.15
,3.283,3.425,8.5,,,,,0.142
,3.283,3.433,9,,,,,0.15
,3.283,3.459,10.5,,,,,0.176
,3.3,3.45,9,,,,,0.15
,3.316,3.467,,,,,,0.151
,3.283,3.45,,,,,,0.167
,3.266,3.433,10,,,,,0.167
,3.316,3.467,9,,,,,0.151
,3.216,3.383,10,,,,,0.167
,3.283,3.45,10,,,,,0.167
,3.283,3.417,8,,,,,0.134
,3.35,3.5,9,,,,,0.15
