#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Paige, G. VS Johnston, B.",Vanderbilt University vs Wright State University,,,,0:14.1,6/1/2025,"Paige, G.","Johnston, B.",T2,0-4," - ",0,1-0,BIP,Fastball,89,Fly Ball,Home Run,
2,"West, J. VS Johnston, B.",University of Louisville vs Vanderbilt University,,,,0:10.2,5/31/2025,"West, J.","Johnston, B.",B6,3-2," - ",0,0-1,BIP,Curveball,77,Ground Ball,Single,
3,"Hartzell, W. VS Johnston, B.",Wright State University vs Vanderbilt University,,,,0:14.0,5/30/2025,"Hartzell, W.","Johnston, B.",B7,3-0," - ",0,1-1,BIP,Fastball,91,Fly Ball,Home Run,
4,"Hooks, W. VS Johnston, B.",University of Mississippi vs Vanderbilt University,,,,0:15.4,5/25/2025,"Hooks, W.","Johnston, B.",B1,0-0,1B,2,0-0,BIP,Fastball,88,Fly Ball,Home Run,
5,"Hooks, W. VS Johnston, B.",University of Mississippi vs Vanderbilt University,,,,0:11.2,5/25/2025,"Hooks, W.","Johnston, B.",B4,0-2," - ",1,0-1,BIP,Changeup,81,Ground Ball,Single,
6,"Loy, D. VS Johnston, B.",University of Tennessee vs Vanderbilt University,,,,0:10.6,5/24/2025,"Loy, D.","Johnston, B.",B3,0-5," - ",1,2-1,BIP,Fastball,89,Ground Ball,Single,
7,"Crossland, C. VS Johnston, B.",University of Oklahoma vs Vanderbilt University,,,,0:14.8,5/22/2025,"Crossland, C.","Johnston, B.",B3,0-4,2B,1,1-1,BIP,Fastball,94,Fly Ball,Flyout,
8,"Jones, G. VS Johnston, B.",University of Oklahoma vs Vanderbilt University,,,,0:11.6,5/22/2025,"Jones, G.","Johnston, B.",B5,1-5," - ",0,3-2,BIP,Changeup,87,Line Drive,Single,
9,"Cleaver, B. VS Johnston, B.",University of Kentucky vs Vanderbilt University,,,,0:10.5,5/17/2025,"Cleaver, B.","Johnston, B.",B2,0-0," - ",0,2-2,BIP,Fastball,89,Ground Ball,Groundout,
10,"McCay, N. VS Johnston, B.",University of Kentucky vs Vanderbilt University,,,,0:14.0,5/16/2025,"McCay, N.","Johnston, B.",B1,2-1,3B,1,1-0,BIP,Cutter,88,Line Drive,Home Run,
11,"Loy, D. VS Johnston, B.",Vanderbilt University vs University of Tennessee,,,,0:12.3,5/9/2025,"Loy, D.","Johnston, B.",T9,1-3," - ",1,1-0,BIP,Curveball,77,Fly Ball,Home Run,
12,"Ozmer, C. VS Johnston, B.",University of Alabama vs Vanderbilt University,,,,0:13.5,5/4/2025,"Ozmer, C.","Johnston, B.",B9,7-5,2B-3B,2,0-0,BIP,Slider,75,Line Drive,Double,
13,"Quick, R. VS Johnston, B.",University of Alabama vs Vanderbilt University,,,,0:10.5,5/3/2025,"Quick, R.","Johnston, B.",B1,0-1," - ",2,3-2,BIP,Fastball,98,Ground Ball,Single,
14,"Fay, T. VS Johnston, B.",University of Alabama vs Vanderbilt University,,,,0:15.4,5/2/2025,"Fay, T.","Johnston, B.",B4,0-0,2B,0,0-1,BIP,Fastball,90,Line Drive,Double,
15,"Fay, T. VS Johnston, B.",University of Alabama vs Vanderbilt University,,,,0:11.5,5/2/2025,"Fay, T.","Johnston, B.",B6,0-0,1B-2B,0,0-1,BIP,Fastball,89,Ground Ball,Single,
16,"Lehman, C. VS Johnston, B.",University of Alabama vs Vanderbilt University,,,,0:13.9,5/2/2025,"Lehman, C.","Johnston, B.",B7,0-4,3B,1,2-1,BIP,Fastball,91,Line Drive,Double,
17,"Nichols, M. VS Johnston, B.",Vanderbilt University vs University of Mississippi,,,,0:12.9,4/27/2025,"Nichols, M.","Johnston, B.",T1,0-0,1B,2,0-2,BIP,Fastball,96,Ground Ball,Single,
18,"Maddox, R. VS Johnston, B.",Vanderbilt University vs University of Mississippi,,,,0:09.9,4/26/2025,"Maddox, R.","Johnston, B.",T1,0-0," - ",1,2-1,BIP,Cutter,87,Fly Ball,Flyout,
19,"Jones, B. VS Johnston, B.",Vanderbilt University vs University of Mississippi,,,,0:08.9,4/26/2025,"Jones, B.","Johnston, B.",T8,1-7,1B,2,2-1,BIP,Slider,89,Line Drive,Lineout,
20,"Smith, K. VS Johnston, B.",University of Georgia vs Vanderbilt University,,,,0:10.7,4/18/2025,"Smith, K.","Johnston, B.",B3,0-2,1B-2B,1,1-1,BIP,Cutter,87,Fly Ball,Home Run,
