,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Brodie Johnston,3.25,3.417,10,,0.26,0.297,0.534,0.167
Run Producer,3.283,3.459,10.5,,,,,0.176
SEC,3.283,3.442,9.5,,,,,0.159
,3.258,3.425,,,,,,0.167
,3.301,3.467,,,,,,0.166
,3.273,3.423,,,,,,0.15
,3.257,3.423,,,,,,0.166
,3.26,3.461,,,,,,0.201
,3.283,3.442,9.5,,,,,0.159
,3.267,3.417,9,,,,,0.15
,3.316,3.492,10.5,,,,,0.176
,3.367,3.509,8.5,,,,,0.142
,3.233,3.383,9,,,,,0.15
,3.266,3.425,9.5,,,,,0.159
,3.283,3.45,10,,,,,0.167
,3.25,3.4,9,,,,,0.15
,3.233,3.383,9,,,,,0.15
,3.266,3.425,9.5,,,,,0.159
,3.283,3.45,10,,,,,0.167
,3.35,3.483,8,,,,,0.133
