#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Cowan, Z. VS Kozeal, C.",University of Arkansas vs Louisiana State University,,,,0:10.5,6/18/2025,"Cowan, Z.","Kozeal, C.",T2,0-0," - ",0,0-0,BIP,Fastball,91,Ground Ball,Single,
2,"Shores, C. VS Kozeal, C.",University of Arkansas vs Louisiana State University,,,,0:08.1,6/18/2025,"Shores, C.","Kozeal, C.",T8,3-2,1B,2,0-0,BIP,Fastball,98,Ground Ball,Groundout,
3,"Silva, I. VS Kozeal, C.",University of Arkansas vs Murray State University,,,,0:12.4,6/16/2025,"Silva, I.","Kozeal, C.",T4,1-0," - ",0,0-1,BIP,Fastball,92,Fly Ball,Flyout,
4,"Anderson, K. VS Kozeal, C.",Louisiana State University vs University of Arkansas,,,,0:09.2,6/14/2025,"Anderson, K.","Kozeal, C.",B8,4-1," - ",0,0-1,BIP,Fastball,91,Line Drive,Single,
5,"Doyle, L. VS Kozeal, C.",University of Arkansas vs University of Tennessee,,,,0:10.2,6/8/2025,"Doyle, L.","Kozeal, C.",T2,0-0," - ",1,1-1,BIP,Changeup,88,Line Drive,Single,
6,"Doyle, L. VS Kozeal, C.",University of Arkansas vs University of Tennessee,,,,0:10.1,6/8/2025,"Doyle, L.","Kozeal, C.",T4,2-1," - ",0,2-1,BIP,Slider,83,Ground Ball,Single,
7,"Phillips, M. VS Kozeal, C.",University of Tennessee vs University of Arkansas,,,,0:11.5,6/7/2025,"Phillips, M.","Kozeal, C.",B2,0-0," - ",0,0-2,BIP,Fastball,96,Ground Ball,Single,
8,"Langrell, G. VS Kozeal, C.",Creighton University vs University of Arkansas,,,,0:16.3,6/1/2025,"Langrell, G.","Kozeal, C.",B3,0-6," - ",1,2-2,BIP,Slider,80,Line Drive,Double,
9,"Burke, J. VS Kozeal, C.",Creighton University vs University of Arkansas,,,,0:13.4,6/1/2025,"Burke, J.","Kozeal, C.",B5,3-7," - ",1,1-2,BIP,Fastball,90,Fly Ball,Flyout,
10,"Klein, N. VS Kozeal, C.",Creighton University vs University of Arkansas,,,,0:11.1,6/1/2025,"Klein, N.","Kozeal, C.",B7,3-8," - ",2,1-1,BIP,Fastball,88,Line Drive,Lineout,
11,"Magers, W. VS Kozeal, C.",University of Arkansas vs Creighton University,,,,0:11.7,5/31/2025,"Magers, W.","Kozeal, C.",T2,0-0," - ",1,3-2,BIP,Fastball,93,Fly Ball,Home Run,
12,"Curtin, S. VS Kozeal, C.",University of Arkansas vs Creighton University,,,,0:11.1,5/31/2025,"Curtin, S.","Kozeal, C.",T9,12-1,1B,0,0-0,BIP,Fastball,84,Ground Ball,Grounded Into Double Play,
13,"Johnson, N. VS Kozeal, C.",North Dakota State University vs University of Arkansas,,,,0:11.0,5/30/2025,"Johnson, N.","Kozeal, C.",B1,1-1,1B-3B,2,1-0,BIP,Fastball,90,Ground Ball,Single,
14,"Johnson, N. VS Kozeal, C.",North Dakota State University vs University of Arkansas,,,,0:15.4,5/30/2025,"Johnson, N.","Kozeal, C.",B3,2-3,2B,1,3-2,BIP,Fastball,89,Fly Ball,Double,
15,"Johnson, N. VS Kozeal, C.",North Dakota State University vs University of Arkansas,,,,0:13.7,5/30/2025,"Johnson, N.","Kozeal, C.",B5,2-4,1B,2,1-0,BIP,Slider,76,Fly Ball,Home Run,
16,"Maddox, R. VS Kozeal, C.",University of Mississippi vs University of Arkansas,,,,0:21.3,5/23/2025,"Maddox, R.","Kozeal, C.",B2,5-1," - ",0,3-2,BIP,Slider,86,Fly Ball,Home Run Inside The Park,
17,"Morris, M. VS Kozeal, C.",University of Mississippi vs University of Arkansas,,,,0:09.2,5/23/2025,"Morris, M.","Kozeal, C.",B8,5-2," - ",2,0-2,BIP,Cutter,91,Line Drive,Lineout,
18,"Doyle, L. VS Kozeal, C.",University of Tennessee vs University of Arkansas,,,,0:08.9,5/16/2025,"Doyle, L.","Kozeal, C.",B3,4-5," - ",0,0-0,BIP,Cutter,85,Ground Ball,Groundout,
19,"Russell, A. VS Kozeal, C.",University of Tennessee vs University of Arkansas,,,,0:13.3,5/15/2025,"Russell, A.","Kozeal, C.",B7,6-3,1B,2,1-1,BIP,Fastball,93,Line Drive,Double,
20,"Evans, C. VS Kozeal, C.",University of Arkansas vs Louisiana State University,,,,0:07.6,5/11/2025,"Evans, C.","Kozeal, C.",T2,0-0,2B-3B,0,1-1,BIP,Changeup,85,Line Drive,Lineout,
