#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Brockett, J. VS Garate, C.",University of Nebraska vs University of Oregon,,,,0:13.2,5/24/2025,"Brockett, J.","Garate, C.",B5,6-1," - ",2,2-2,BIP,Fastball,87,Fly Ball,Double,
2,"Walsh, W. VS Garate, C.",University of Nebraska vs University of Oregon,,,,0:13.3,5/24/2025,"Walsh, W.","Garate, C.",B9,7-1,1B-2B,0,2-2,BIP,Changeup,78,Line Drive,Double,
3,"Beuter, R. VS Garate, C.",University of Oregon vs University of Iowa,,,,0:13.8,5/17/2025,"Beuter, R.","Garate, C.",T3,0-1," - ",1,0-1,BIP,Changeup,82,Fly Ball,Home Run,
4,"Thomas, J. VS Garate, C.",University of Washington vs University of Oregon,,,,0:12.8,5/10/2025,"Thomas, J.","Garate, C.",B3,2-1," - ",0,0-1,BIP,Changeup,87,Line Drive,Single,
5,"Banks, M. VS Garate, C.",University of Washington vs University of Oregon,,,,0:09.8,5/9/2025,"Banks, M.","Garate, C.",B6,0-4," - ",2,3-1,BIP,Fastball,91,Ground Ball,Groundout,
6,"Chapman, F. VS Garate, C.",Saint Mary's College (CA) vs University of Oregon,,,,0:12.4,5/7/2025,"Chapman, F.","Garate, C.",B3,0-0," - ",0,3-2,BIP,Curveball,82,Line Drive,Single,
7,"Higgins, N. VS Garate, C.",University of Oregon vs Michigan State University,,,,0:09.8,5/4/2025,"Higgins, N.","Garate, C.",T2,1-0,1B-2B,2,2-2,BIP,Changeup,84,Ground Ball,Groundout,
8,"Brewer, G. VS Garate, C.",University of Oregon vs Michigan State University,,,,0:09.3,5/4/2025,"Brewer, G.","Garate, C.",T5,2-0,1B,0,2-1,BIP,Slider,0,Ground Ball,Groundout,
9,"DeCremer, J. VS Garate, C.",Oregon State University vs University of Oregon,,,,0:13.7,4/26/2025,"DeCremer, J.","Garate, C.",B6,1-11,2B-3B,1,1-2,BIP,Fastball,93,Ground Ball,Double,
10,"Keljo, N. VS Garate, C.",Oregon State University vs University of Oregon,,,,0:11.4,4/25/2025,"Keljo, N.","Garate, C.",B3,2-0," - ",1,0-1,BIP,Fastball,92,Fly Ball,Flyout,
11,"Stump, L. VS Garate, C.",UCLA vs University of Oregon,,,,0:09.5,4/20/2025,"Stump, L.","Garate, C.",B2,0-2,3B,2,3-2,BIP,Slider,81,Ground Ball,Groundout,
12,"Citron, A. VS Garate, C.",University of Oregon vs Georgetown University,,,,0:13.6,4/14/2025,"Citron, A.","Garate, C.",T7,8-1,1B-2B-3B,1,2-2,BIP,Fastball,90,Fly Ball,Home Run,
13,"Koshy, A. VS Garate, C.","University of Oregon vs University of Maryland, College Park",,,,0:12.4,4/13/2025,"Koshy, A.","Garate, C.",T5,3-3,1B,2,0-1,BIP,Fastball,89,Ground Ball,Single,
14,"Melendez, O. VS Garate, C.","University of Oregon vs University of Maryland, College Park",,,,0:10.9,4/13/2025,"Melendez, O.","Garate, C.",T8,9-3,1B,2,1-1,BIP,Slider,74,Line Drive,Single,
15,"Koester, L. VS Garate, C.","University of Oregon vs University of Maryland, College Park",,,,0:14.3,4/13/2025,"Koester, L.","Garate, C.",T9,13-3,1B,2,1-2,BIP,Fastball,87,Line Drive,Double,
16,"Lally Jr., D. VS Garate, C.",University of Michigan vs University of Oregon,,,,0:10.7,4/4/2025,"Lally Jr., D.","Garate, C.",B4,0-6," - ",1,2-0,BIP,Fastball,90,Line Drive,Single,
17,"Mack, L. VS Garate, C.",Rutgers University vs University of Oregon,,,,0:09.7,3/22/2025,"Mack, L.","Garate, C.",B3,3-0," - ",2,2-2,BIP,Fastball,95,Ground Ball,Groundout,
18,"Clark, R. VS Garate, C.",Grand Canyon University vs University of Oregon,,,,0:10.6,3/12/2025,"Clark, R.","Garate, C.",B4,4-10," - ",1,1-1,BIP,Changeup,78,Fly Ball,Flyout,
19,"Cunnings, C. VS Garate, C.",Grand Canyon University vs University of Oregon,,,,0:16.1,3/11/2025,"Cunnings, C.","Garate, C.",B8,4-1,1B-2B,2,1-0,BIP,Fastball,89,Line Drive,Ground Rule Double,
20,"Argenziano, A. VS Garate, C.",Columbia University vs University of Oregon,,,,0:14.5,3/1/2025,"Argenziano, A.","Garate, C.",B8,1-30,1B-3B,1,2-1,BIP,Fastball,85,Line Drive,Double,
