,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Carter Garate,3.383,3.533,9,,0.274,0.405,0.419,0.15
Run Producer,3.483,3.625,8.5,,,,,0.142
Big 10,3.35,3.5,9,,,,,0.15
,3.3,3.45,,,,,,0.15
,3.25,3.4,,,,,,0.15
,3.299,3.466,,,,,,0.167
,3.333,3.5,,,,,,0.167
,3.3,3.483,,,,,,0.183
,3.266,3.417,,,,,,0.151
,3.233,3.417,,,,,,0.184
,3.333,3.5,,,,,,0.167
,3.266,3.416,9,,,,,0.15
,3.316,3.45,,,,,,0.134
,3.35,3.5,,,,,,0.15
,3.266,3.433,,,,,,0.167
,3.3,3.467,,,,,,0.167
,3.3,3.467,,,,,,0.167
,3.35,3.517,,,,,,0.167
,3.3,3.434,,,,,,0.134
,3.316,3.467,,,,,,0.151
