#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Morrison, J. VS Stanfield, C.",Louisiana State University vs Coastal Carolina University,,,,0:13.1,6/22/2025,"Morrison, J.","Stanfield, C.",T4,1-1,1B-2B-3B,0,1-0,BIP,Fastball,93,Line Drive,Single,
2,"Root, Z. VS Stanfield, C.",Louisiana State University vs University of Arkansas,,,,0:12.1,6/14/2025,"Root, Z.","Stanfield, C.",T2,0-0,1B-2B-3B,1,1-1,BIP,Changeup,86,Line Drive,Single,
3,"Meyer, C. VS Stanfield, C.",Louisiana State University vs West Virginia University,,,,0:14.7,6/8/2025,"Meyer, C.","Stanfield, C.",T3,6-0,1B,1,2-0,BIP,Fastball,96,Fly Ball,Flyout,
4,"Van Cleve, B. VS Stanfield, C.",Louisiana State University vs Little Rock,,,,0:14.3,6/2/2025,"Van Cleve, B.","Stanfield, C.",T2,1-0,1B,1,1-0,BIP,Fastball,84,Line Drive,Lined Into Triple Play,
5,"Bunting, B. VS Stanfield, C.",Louisiana State University vs Little Rock,,,,0:09.6,6/2/2025,"Bunting, B.","Stanfield, C.",T4,1-4,1B,0,3-2,BIP,Slider,81,Ground Ball,Fielder's Choice - Out,
6,"Burkey, N. VS Stanfield, C.",Louisiana State University vs Little Rock,,,,0:11.9,6/1/2025,"Burkey, N.","Stanfield, C.",T2,3-0,1B,1,1-2,BIP,Fastball,88,Line Drive,Lineout,
7,"Bucknam, M. VS Stanfield, C.",Dallas Baptist University vs Louisiana State University,,,,0:13.9,5/31/2025,"Bucknam, M.","Stanfield, C.",B2,0-2," - ",1,1-1,BIP,Fastball,95,Fly Ball,Home Run,
8,"Bucknam, M. VS Stanfield, C.",Dallas Baptist University vs Louisiana State University,,,,0:15.2,5/31/2025,"Bucknam, M.","Stanfield, C.",B3,0-4,1B-2B,2,1-0,BIP,Slider,87,Line Drive,Single,
9,"Wells, J. VS Stanfield, C.",Little Rock vs Louisiana State University,,,,0:12.2,5/30/2025,"Wells, J.","Stanfield, C.",B2,0-1," - ",1,3-1,BIP,Fastball,92,Line Drive,Single,
10,"Wells, J. VS Stanfield, C.",Little Rock vs Louisiana State University,,,,0:11.8,5/30/2025,"Wells, J.","Stanfield, C.",B4,0-2,2B,1,1-2,BIP,Curveball,82,Ground Ball,Groundout,
11,"Townsend, C. VS Stanfield, C.",University of Mississippi vs Louisiana State University,,,,0:10.5,5/24/2025,"Townsend, C.","Stanfield, C.",B3,1-0,1B,1,1-1,BIP,Fastball,95,Ground Ball,Single,
12,"Freshcorn, C. VS Stanfield, C.",Texas A&M University vs Louisiana State University,,,,0:09.2,5/23/2025,"Freshcorn, C.","Stanfield, C.",B8,3-4," - ",0,0-1,BIP,Slider,83,Fly Ball,Flyout,
13,"Crowther, A. VS Stanfield, C.",Louisiana State University vs University of South Carolina,,,,0:13.9,5/15/2025,"Crowther, A.","Stanfield, C.",T5,2-1,1B,0,2-2,BIP,Fastball,91,Line Drive,Single,
14,"Stone, B. VS Stanfield, C.",Louisiana State University vs University of South Carolina,,,,0:11.4,5/15/2025,"Stone, B.","Stanfield, C.",T7,3-3,2B,1,0-1,BIP,Slider,83,Line Drive,Lineout,
15,"Foutch, C. VS Stanfield, C.",University of Arkansas vs Louisiana State University,,,,0:12.2,5/11/2025,"Foutch, C.","Stanfield, C.",B6,5-3," - ",2,1-1,BIP,Fastball,98,Ground Ball,Single,
16,"Patton, M. VS Stanfield, C.",Louisiana State University vs Texas A&M University,,,,0:10.7,5/4/2025,"Patton, M.","Stanfield, C.",T3,0-0," - ",1,3-1,BIP,Fastball,89,Line Drive,Single,
17,"Prager, R. VS Stanfield, C.",Louisiana State University vs Texas A&M University,,,,0:17.6,5/3/2025,"Prager, R.","Stanfield, C.",T7,1-1,1B,2,0-0,BIP,Fastball,88,Ground Ball,Double,
18,"Kuhns, T. VS Stanfield, C.",University of Tennessee vs Louisiana State University,,,,0:17.4,4/27/2025,"Kuhns, T.","Stanfield, C.",B4,2-5," - ",0,2-2,BIP,Curveball,78,Fly Ball,Triple,
19,"Myers, B. VS Stanfield, C.",University of Alabama vs Louisiana State University,,,,0:13.6,4/18/2025,"Myers, B.","Stanfield, C.",B6,1-4," - ",0,1-1,BIP,Fastball,90,Line Drive,Double,
20,"Fay, T. VS Stanfield, C.",University of Alabama vs Louisiana State University,,,,0:13.5,4/17/2025,"Fay, T.","Stanfield, C.",B3,2-0," - ",1,1-1,BIP,Slider,81,Line Drive,Double,
