,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Chris Stanfield,3.266,3.417,9,,0.296,0.414,0.403,0.151
On-Baser,3.2,3.367,10,,,,,0.167
SEC,3.25,3.4,9,,,,,0.15
,3.283,3.45,10,,,,,0.167
,3.316,3.467,9,,,,,0.151
,3.283,3.417,8,,,,,0.134
,3.266,3.425,9.5,,,,,0.159
,3.283,3.45,10,,,,,0.167
,3.266,3.391,7.5,,,,,0.125
,3.3,3.433,8,,,,,0.133
,3.217,3.4,,,,,,0.183
,3.298,3.468,,,,,,0.17
,3.266,3.417,9,,,,,0.151
,3.316,3.467,9,,,,,0.151
,3.25,3.4,9,,,,,0.15
,3.266,3.4,8,,,,,0.134
,3.249,3.416,10,,,,,0.167
,3.4,3.559,9.5,,,,,0.159
,3.283,3.433,9,,,,,0.15
,3.3,3.467,10,,,,,0.167
