#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Flukey, C. VS Fabian, D.",Coastal Carolina University vs Auburn University,,,,0:07.9,6/6/2025,"Flukey, C.","Fabian, D.",B2,1-1," - ",2,2-1,BIP,Slider,83,Ground Ball,Field Error,
2,"Flukey, C. VS Fabian, D.",Coastal Carolina University vs Auburn University,,,,0:13.0,6/6/2025,"Flukey, C.","Fabian, D.",B4,6-1,2B,0,1-0,BIP,Fastball,93,Fly Ball,Flyout,
3,"McCoy, J. VS Fabian, D.",University of South Carolina vs Auburn University,,,,0:13.2,5/9/2025,"McCoy, J.","Fabian, D.",B1,0-2,1B-2B,2,0-1,BIP,Fastball,95,Fly Ball,Flyout,
4,"Crowther, A. VS Fabian, D.",University of South Carolina vs Auburn University,,,,0:12.2,5/9/2025,"Crowther, A.","Fabian, D.",B8,9-10," - ",2,1-1,BIP,Fastball,90,Fly Ball,Flyout,
5,"Eskew, D. VS Fabian, D.",University of South Carolina vs Auburn University,,,,0:13.8,5/9/2025,"Eskew, D.","Fabian, D.",B2,3-2," - ",2,3-1,BIP,Fastball,88,Ground Ball,Double,
6,"Garino, R. VS Fabian, D.",University of South Carolina vs Auburn University,,,,0:15.6,5/8/2025,"Garino, R.","Fabian, D.",B4,1-12," - ",1,0-1,BIP,Fastball,89,Fly Ball,Double,
7,"Whitney, J. VS Fabian, D.",Auburn University vs Samford University,,,,0:10.6,4/29/2025,"Whitney, J.","Fabian, D.",T4,2-0,1B,1,0-0,BIP,Fastball,0,Line Drive,Lineout,
8,"Ligon, K. VS Fabian, D.",Mississippi State University vs Auburn University,,,,0:13.3,4/27/2025,"Ligon, K.","Fabian, D.",B2,2-2,1B-3B,0,2-0,BIP,Slider,86,Line Drive,Sacrifice Fly,
9,"Siary, E. VS Fabian, D.",Mississippi State University vs Auburn University,,,,0:10.0,4/26/2025,"Siary, E.","Fabian, D.",B3,4-0," - ",0,1-0,BIP,Fastball,89,Fly Ball,Flyout,
10,"Simmons, S. VS Fabian, D.",Mississippi State University vs Auburn University,,,,0:20.4,4/26/2025,"Simmons, S.","Fabian, D.",B7,10-3," - ",0,1-0,BIP,Fastball,93,Fly Ball,Home Run,
11,"Kohn, P. VS Fabian, D.",Mississippi State University vs Auburn University,,,,0:14.5,4/25/2025,"Kohn, P.","Fabian, D.",B6,2-4," - ",1,0-0,BIP,Fastball,92,Line Drive,Double,
12,"Burns, T. VS Fabian, D.",Auburn University vs University of Texas,,,,0:09.9,4/18/2025,"Burns, T.","Fabian, D.",T6,2-4,1B-2B,2,0-1,BIP,Fastball,97,Line Drive,Lineout,
13,"Volantis, D. VS Fabian, D.",Auburn University vs University of Texas,,,,0:10.5,4/18/2025,"Volantis, D.","Fabian, D.",T9,3-8," - ",1,1-2,BIP,Fastball,92,Ground Ball,Single,
14,"McDougall, M. VS Fabian, D.",Auburn University vs Jacksonville State University,,,,0:12.1,4/15/2025,"McDougall, M.","Fabian, D.",T3,0-0,1B,0,0-1,BIP,Slider,80,Fly Ball,Flyout,
15,"Cowan, Z. VS Fabian, D.",Louisiana State University vs Auburn University,,,,0:11.1,4/13/2025,"Cowan, Z.","Fabian, D.",B4,0-3,1B-2B,1,0-1,BIP,Fastball,91,Line Drive,Lineout,
16,"Chicoli, C. VS Fabian, D.",Auburn University vs Georgia Tech,,,,0:14.5,4/8/2025,"Chicoli, C.","Fabian, D.",T8,6-7,3B,1,0-0,BIP,Fastball,91,Line Drive,Double,
17,"Finley, L. VS Fabian, D.",Auburn University vs University of Georgia,,,,0:11.2,3/29/2025,"Finley, L.","Fabian, D.",T2,2-2,1B,1,2-2,BIP,Slider,82,Ground Ball,Fielder's Choice - Out,
18,"Rouse, S. VS Fabian, D.",Auburn University vs University of Kentucky,,,,0:10.0,3/22/2025,"Rouse, S.","Fabian, D.",T6,3-3,2B-3B,1,3-2,BIP,Slider,80,Ground Ball,Single,
19,"Thompson, J. VS Fabian, D.",Vanderbilt University vs Auburn University,,,,0:15.4,3/14/2025,"Thompson, J.","Fabian, D.",B3,2-2,2B-3B,1,3-2,BIP,Fastball,94,Line Drive,Double,
20,"Morgan, B. VS Fabian, D.",Old Dominion University vs Auburn University,,,,0:23.4,3/9/2025,"Morgan, B.","Fabian, D.",B3,0-1,1B,1,0-0,BIP,Changeup,81,Fly Ball,Double,
