,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Deric Fabian,3.266,3.467,12,,0.234,0.339,0.36,0.201
On-Baser,3.283,3.433,9,,,,,0.15
SEC,3.233,3.4,10,,,,,0.167
,3.283,3.433,9,,,,,0.15
,3.35,3.483,8,,,,,0.133
,3.283,3.425,8.5,,,,,0.142
,3.3,3.471,,,,,,0.171
,3.283,3.45,10,,,,,0.167
,3.3,3.433,8,,,,,0.133
,3.233,3.383,9,,,,,0.15
,3.316,3.45,8,,,,,0.134
,3.333,3.483,9,,,,,0.15
,3.35,3.483,8,,,,,0.133
,3.383,3.533,9,,,,,0.15
,3.283,3.433,9,,,,,0.15
,3.316,3.467,9,,,,,0.151
,3.3,3.467,,,,,,0.167
,3.3,3.45,9,,,,,0.15
,3.283,3.433,9,,,,,0.15
,3.3,3.467,10,,,,,0.167
