#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Rinehart, N. VS Rutter, D.",Cal State-Northridge vs San Diego State University,,,,0:13.1,5/6/2025,"Rinehart, N.","Rutter, D.",B9,8-2,2B,0,3-2,BIP,Fastball,89,Ground Ball,Single,
2,"Marquart, W. VS Rutter, D.",San Diego State University vs UNLV,,,,0:13.5,4/25/2025,"Marquart, W.","Rutter, D.",T7,5-3,1B,0,3-1,BIP,Fastball,88,Ground Ball,Grounded Into Double Play,
3,"Hay, K. VS Rutter, D.",Fresno State University vs San Diego State University,,,,0:16.0,4/13/2025,"Hay, K.","Rutter, D.",B5,7-0,2B,2,0-0,BIP,Fastball,88,Line Drive,Single,
4,"Davidson, P. VS Rutter, D.",San Diego State University vs Air Force Academy,,,,0:09.9,4/7/2025,"Davidson, P.","Rutter, D.",T8,10-9,2B,2,2-2,BIP,Fastball,93,Ground Ball,Groundout,
5,"Purcell, B. VS Rutter, D.",San Diego State University vs University of Southern California,,,,0:10.5,4/1/2025,"Purcell, B.","Rutter, D.",T9,6-9," - ",1,1-1,BIP,Changeup,85,Line Drive,Lineout,
6,"Simon, S. VS Rutter, D.",UNLV vs San Diego State University,,,,0:17.7,3/30/2025,"Simon, S.","Rutter, D.",B4,1-1," - ",0,0-2,BIP,Curveball,77,Line Drive,Triple,
7,"Overbay, A. VS Rutter, D.",UNLV vs San Diego State University,,,,0:14.3,3/30/2025,"Overbay, A.","Rutter, D.",B8,1-2,1B-2B,1,1-2,BIP,Fastball,93,Line Drive,Single,
8,"Mercurius, L. VS Rutter, D.",UNLV vs San Diego State University,,,,0:08.1,3/29/2025,"Mercurius, L.","Rutter, D.",B4,2-3," - ",0,1-2,BIP,Fastball,91,Fly Ball,Flyout,
9,"Lueck, R. VS Rutter, D.",UNLV vs San Diego State University,,,,0:08.0,3/29/2025,"Lueck, R.","Rutter, D.",B5,2-5,1B,2,1-2,BIP,Changeup,83,Ground Ball,Groundout,
10,"McCarroll, R. VS Rutter, D.",Northeastern University vs San Diego State University,,,,0:10.3,3/9/2025,"McCarroll, R.","Rutter, D.",B6,4-3," - ",0,0-1,BIP,Changeup,85,Ground Ball,Groundout,
11,"McGrath, C. VS Rutter, D.",Northeastern University vs San Diego State University,,,,0:14.2,3/8/2025,"McGrath, C.","Rutter, D.",B7,5-5,2B,1,3-1,BIP,Fastball,93,Fly Ball,Flyout,
12,"Gottesman, J. VS Rutter, D.",Northeastern University vs San Diego State University,,,,0:17.9,3/7/2025,"Gottesman, J.","Rutter, D.",B2,1-0," - ",2,2-1,BIP,Fastball,92,Line Drive,Triple,
13,"Harrison, D. VS Rutter, D.",University of San Diego vs San Diego State University,,,,0:10.9,2/25/2025,"Harrison, D.","Rutter, D.",B2,0-3,1B,1,1-1,BIP,Fastball,87,Ground Ball,Single,
14,"Palencia, F. VS Rutter, D.",University of San Diego vs San Diego State University,,,,0:10.2,2/25/2025,"Palencia, F.","Rutter, D.",B5,3-9," - ",0,3-2,BIP,Fastball,93,Line Drive,Single,
15,"Ishikawa, K. VS Rutter, D.",Seattle University vs San Diego State University,,,,0:17.4,2/20/2025,"Ishikawa, K.","Rutter, D.",B8,1-3," - ",1,0-2,BIP,Fastball,89,Line Drive,Triple,
16,"Ishikawa, K. VS Rutter, D.",Seattle University vs San Diego State University,,,,0:09.4,2/20/2025,"Ishikawa, K.","Rutter, D.",B10,4-3," - ",2,3-2,BIP,Fastball,88,Ground Ball,Single,
17,"Villar, J. VS Rutter, D.",San Diego State University vs UC San Diego,,,,0:10.5,2/18/2025,"Villar, J.","Rutter, D.",T3,0-1," - ",1,1-2,BIP,Slider,81,Ground Ball,Single,
18,"Weber, C. VS Rutter, D.",San Diego State University vs UC San Diego,,,,0:09.4,2/18/2025,"Weber, C.","Rutter, D.",T5,9-3," - ",0,2-2,BIP,Fastball,89,Ground Ball,Single,
19,"Quinn, W. VS Rutter, D.",Grand Canyon University vs San Diego State University,,,,0:17.0,2/15/2025,"Quinn, W.","Rutter, D.",B9,6-2,1B-3B,1,2-0,BIP,Fastball,87,Line Drive,Triple,
20,"Schrier, A. VS Rutter, D.",San Diego State University vs University of San Diego,,,,0:08.7,4/23/2024,"Schrier, A.","Rutter, D.",T7,1-10," - ",1,3-2,BIP,Fastball,0,Fly Ball,Flyout,
