,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Drew Rutter,3.266,3.433,,,0.228,0.298,0.299,0.167
On-Baser,3.3,3.45,,,,,,0.15
Mountain West,3.233,3.433,,,,,,0.2
,3.2,3.4,,,,,,0.2
,3.316,3.483,10,,,,,0.167
,3.3,3.483,,,,,,0.183
,3.233,3.417,,,,,,0.184
,3.246,3.413,,,,,,0.167
,3.243,3.443,,,,,,0.2
,3.266,3.45,,,,,,0.184
,3.233,3.416,,,,,,0.183
,3.266,3.433,,,,,,0.167
,3.259,3.426,,,,,,0.167
,3.245,3.412,,,,,,0.167
,3.247,3.414,,,,,,0.167
,3.276,3.443,,,,,,0.167
,3.375,3.533,,,,,,0.158
,3.35,3.5,,,,,,0.15
,3.266,3.45,,,,,,0.184
,3.217,3.433,,,,,,0.216
