#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Herman, C. VS Kordic, D.",Utah Valley University vs Cal Poly,,,,0:09.2,6/1/2025,"Herman, C.","Kordic, D.",B10,6-6," - ",0,0-2,BIP,Slider,78,Line Drive,Lineout,
2,"Bailey, S. VS Kordic, D.",Cal Poly vs University of Arizona,,,,0:13.5,6/1/2025,"Bailey, S.","Kordic, D.",T5,0-8," - ",1,0-0,BIP,Changeup,86,Ground Ball,Double,
3,"Grinsell, G. VS Kordic, D.",University of Oregon vs Cal Poly,,,,0:20.8,5/31/2025,"Grinsell, G.","Kordic, D.",B2,0-0,2B,2,0-0,BIP,Fastball,89,Fly Ball,Home Run,
4,"Garcia, S. VS Kordic, D.",University of Oregon vs Cal Poly,,,,0:15.2,5/31/2025,"Garcia, S.","Kordic, D.",B7,8-9,1B-3B,2,3-1,BIP,Fastball,93,Fly Ball,Flyout,
5,"Wall, F. VS Kordic, D.",Cal Poly vs UC Irvine,,,,0:09.5,5/25/2025,"Wall, F.","Kordic, D.",T2,2-0," - ",1,1-2,BIP,Changeup,79,Ground Ball,Groundout,
6,"Martin, M. VS Kordic, D.",Cal Poly vs UC Irvine,,,,0:15.0,5/25/2025,"Martin, M.","Kordic, D.",T9,5-4," - ",0,1-0,BIP,Fastball,93,Line Drive,Double,
7,"Brooks, R. VS Kordic, D.",Cal Poly vs UC Irvine,,,,0:11.2,5/24/2025,"Brooks, R.","Kordic, D.",T3,0-3," - ",0,2-1,BIP,Fastball,89,Ground Ball,Single,
8,"Hansen, T. VS Kordic, D.",Cal Poly vs UC Irvine,,,,0:14.3,5/23/2025,"Hansen, T.","Kordic, D.",T2,0-2,1B,2,2-1,BIP,Changeup,82,Line Drive,Double,
9,"Hudson, M. VS Kordic, D.",UC Riverside vs Cal Poly,,,,0:10.6,5/17/2025,"Hudson, M.","Kordic, D.",B5,2-6,1B-2B-3B,2,3-1,BIP,Fastball,89,Fly Ball,Home Run,
10,"Ignaciak, B. VS Kordic, D.",Cal Poly vs Cal State-Northridge,,,,0:12.2,5/11/2025,"Ignaciak, B.","Kordic, D.",T3,5-4,2B,2,0-1,BIP,Fastball,0,Line Drive,Single,
11,"Gutierrez, D. VS Kordic, D.",Cal Poly vs Cal State-Northridge,,,,0:11.2,5/10/2025,"Gutierrez, D.","Kordic, D.",T6,4-8," - ",1,2-2,BIP,Fastball,92,Ground Ball,Single,
12,"Halamicek, R. VS Kordic, D.",Cal Poly vs Cal State-Northridge,,,,0:10.2,5/10/2025,"Halamicek, R.","Kordic, D.",T8,5-11," - ",1,0-0,BIP,Fastball,87,Line Drive,Lineout,
13,"Tichy, N. VS Kordic, D.",Pepperdine University vs Cal Poly,,,,0:09.8,5/6/2025,"Tichy, N.","Kordic, D.",B3,4-1," - ",0,0-1,BIP,Changeup,80,Ground Ball,Groundout,
14,"Queen, M. VS Kordic, D.",Pepperdine University vs Cal Poly,,,,0:10.9,5/6/2025,"Queen, M.","Kordic, D.",B4,4-1,1B-2B-3B,2,3-2,BIP,Fastball,90,Ground Ball,Groundout,
15,"Liyeos, M. VS Kordic, D.",Pepperdine University vs Cal Poly,,,,0:11.9,5/6/2025,"Liyeos, M.","Kordic, D.",B8,5-10,1B-2B-3B,1,0-0,BIP,Fastball,85,Ground Ball,Single,
16,"Reddemann, R. VS Kordic, D.",Cal Poly vs CSU Bakersfield,,,,0:10.5,5/4/2025,"Reddemann, R.","Kordic, D.",T8,12-5," - ",1,1-1,BIP,Curveball,71,Fly Ball,Flyout,
17,"McAlinden, S. VS Kordic, D.",Cal Poly vs CSU Bakersfield,,,,0:10.6,5/3/2025,"McAlinden, S.","Kordic, D.",T2,1-1," - ",1,3-2,BIP,Fastball,88,Ground Ball,Groundout,
18,"McAlinden, S. VS Kordic, D.",Cal Poly vs CSU Bakersfield,,,,0:15.0,5/3/2025,"McAlinden, S.","Kordic, D.",T3,5-1,1B-3B,1,0-1,BIP,Curveball,76,Line Drive,Double,
19,"Brown, C. VS Kordic, D.",Cal Poly vs CSU Bakersfield,,,,0:09.2,5/3/2025,"Brown, C.","Kordic, D.",T5,7-1,1B,0,1-1,BIP,Fastball,85,Ground Ball,Grounded Into Double Play,
20,"Proskey, C. VS Kordic, D.",Cal Poly vs UC Santa Barbara,,,,0:09.4,4/18/2025,"Proskey, C.","Kordic, D.",T4,1-3," - ",0,1-2,BIP,Fastball,92,Line Drive,Lineout,
