,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Dylan Kordic,3.316,3.483,10,,0.262,0.339,0.431,0.167
Run Producer,3.283,3.442,9.5,,,,,0.159
Big West,3.266,3.417,9,,,,,0.151
,3.283,3.433,9,,,,,0.15
,3.318,3.484,,,,,,0.166
,3.261,3.395,,,,,,0.134
,3.283,3.449,,,,,,0.166
,3.32,3.486,,,,,,0.166
,3.283,3.417,8,,,,,0.134
,3.283,3.433,9,,,,,0.15
,3.283,3.433,9,,,,,0.15
,3.3,3.45,9,,,,,0.15
,3.3,3.467,10,,,,,0.167
,3.283,3.433,9,,,,,0.15
,3.3,3.467,10,,,,,0.167
,3.4,3.55,9,,,,,0.15
,3.266,3.425,9.5,,,,,0.159
,3.333,3.492,9.5,,,,,0.159
,3.266,3.433,10,,,,,0.167
,3.266,3.417,9,,,,,0.151
