#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Harris, G. VS Palfrey, G.",The University of Southern Mississippi vs Columbia University,,,,0:08.9,6/1/2025,"Harris, G.","Palfrey, G.",B3,1-1," - ",2,1-1,BIP,Slider,81,Fly Ball,Flyout,
2,"Hugus, G. VS Palfrey, G.",Columbia University vs University of Miami,,,,0:11.4,5/31/2025,"Hugus, G.","Palfrey, G.",T1,0-0," - ",2,0-0,BIP,Fastball,94,Line Drive,Single,
3,"Adams, M. VS Palfrey, G.",Columbia University vs The University of Southern Mississippi,,,,0:16.9,5/30/2025,"Adams, M.","Palfrey, G.",T1,0-0,1B-2B,0,3-1,BIP,Fastball,92,Fly Ball,Flyout,
4,"Sivley, K. VS Palfrey, G.",Columbia University vs The University of Southern Mississippi,,,,0:15.3,5/30/2025,"Sivley, K.","Palfrey, G.",T4,5-1,2B,2,0-1,BIP,Slider,78,Fly Ball,Double,
5,"Sivley, K. VS Palfrey, G.",Columbia University vs The University of Southern Mississippi,,,,0:09.3,5/30/2025,"Sivley, K.","Palfrey, G.",T8,8-3,1B,2,1-1,BIP,Fastball,86,Ground Ball,Fielder's Choice - Out,
6,"Pauley, T. VS Palfrey, G.",Columbia University vs Harvard University,,,,0:14.9,5/17/2025,"Pauley, T.","Palfrey, G.",T5,1-1,1B,1,0-2,BIP,Slider,86,Fly Ball,Flyout,
7,"Cleary, C. VS Palfrey, G.",Columbia University vs Harvard University,,,,0:19.8,5/4/2025,"Cleary, C.","Palfrey, G.",T5,8-0,1B-2B,2,0-2,BIP,Fastball,90,Line Drive,Double,
8,"Fang, C. VS Palfrey, G.",Columbia University vs Harvard University,,,,0:12.0,5/3/2025,"Fang, C.","Palfrey, G.",T1,0-0,2B,1,1-2,BIP,Fastball,93,Fly Ball,Flyout,
9,"McHugh, R. VS Palfrey, G.",Columbia University vs Harvard University,,,,0:09.8,5/3/2025,"McHugh, R.","Palfrey, G.",T9,16-13," - ",2,0-1,BIP,Curveball,75,Ground Ball,Groundout,
10,"Smith, J. VS Palfrey, G.",Columbia University vs Harvard University,,,,0:08.5,5/3/2025,"Smith, J.","Palfrey, G.",T5,6-2,2B-3B,2,3-2,BIP,Fastball,89,Line Drive,Lineout,
11,"Smith, J. VS Palfrey, G.",Columbia University vs Harvard University,,,,0:13.9,5/3/2025,"Smith, J.","Palfrey, G.",T7,6-3,1B-2B,2,1-0,BIP,Fastball,88,Line Drive,Single,
12,"Katz, J. VS Palfrey, G.",Columbia University vs University of Pennsylvania,,,,0:17.5,4/27/2025,"Katz, J.","Palfrey, G.",T1,0-0,1B,1,1-2,BIP,Fastball,92,Line Drive,Double,
13,"Katz, J. VS Palfrey, G.",Columbia University vs University of Pennsylvania,,,,0:17.1,4/27/2025,"Katz, J.","Palfrey, G.",T5,2-5,1B-2B,1,1-1,BIP,Fastball,91,Line Drive,Double,
14,"Isler, N. VS Palfrey, G.",Dartmouth College vs Columbia University,,,,0:17.3,4/19/2025,"Isler, N.","Palfrey, G.",B1,0-0,1B-2B,0,0-0,BIP,Fastball,91,Fly Ball,Single,
15,"Sheldon, J. VS Palfrey, G.",Fairfield University vs Columbia University,,,,0:12.3,4/15/2025,"Sheldon, J.","Palfrey, G.",B2,4-4,1B-2B,0,0-1,BIP,Slider,74,Fly Ball,Home Run,
16,"Miller, B. VS Palfrey, G.",Fairfield University vs Columbia University,,,,0:14.5,4/15/2025,"Miller, B.","Palfrey, G.",B6,7-14,1B-2B,2,0-1,BIP,Fastball,87,Fly Ball,Home Run,
17,"Cohen, D. VS Palfrey, G.",Columbia University vs Yale University,,,,0:12.8,4/13/2025,"Cohen, D.","Palfrey, G.",T3,1-0," - ",0,0-1,BIP,Fastball,86,Fly Ball,Home Run,
18,"Shea, J. VS Palfrey, G.",Cornell University vs Columbia University,,,,0:14.3,4/4/2025,"Shea, J.","Palfrey, G.",B8,1-6,1B-2B-3B,2,0-0,BIP,Slider,73,Fly Ball,Home Run,
19,"Holcombe, H. VS Palfrey, G.",Cornell University vs Columbia University,,,,0:09.5,4/4/2025,"Holcombe, H.","Palfrey, G.",B2,3-0," - ",1,3-2,BIP,Fastball,91,Ground Ball,Groundout,
20,"Ellison, C. VS Palfrey, G.",Cornell University vs Columbia University,,,,0:10.8,4/4/2025,"Ellison, C.","Palfrey, G.",B9,7-3,1B,0,0-0,BIP,Fastball,87,Line Drive,Lineout,
