,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Griffin Palfrey,3.316,3.467,9,,0.253,0.368,0.423,0.151
Barrel Controller,3.316,3.45,8,,,,,0.134
Ivy League ,3.3,3.433,8,,,,,0.133
,3.35,3.5,9,,,,,0.15
,3.283,3.417,8,,,,,0.134
,3.325,3.467,8.5,,,,,0.142
,3.266,3.417,,,,,,0.151
,3.266,3.4,,,,,,0.134
,3.367,3.517,,,,,,0.15
,3.266,3.4,,,,,,0.134
,3.283,3.433,,,,,,0.15
,3.283,3.425,8.5,,,,,0.142
,3.3,3.433,8,,,,,0.133
,3.367,3.509,8.5,,,,,0.142
,3.366,3.533,10,,,,,0.167
,3.3,3.433,8,,,,,0.133
,3.25,3.392,8.5,,,,,0.142
,3.367,3.517,9,,,,,0.15
,3.25,3.417,10,,,,,0.167
,3.35,3.483,8,,,,,0.133
