#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Morrison, J. VS Irish, I.",Auburn University vs Coastal Carolina University,,,,0:10.3,6/7/2025,"Morrison, J.","Irish, I.",T3,1-0," - ",2,0-0,BIP,Changeup,83,Ground Ball,Single,
2,"Flukey, C. VS Irish, I.",Coastal Carolina University vs Auburn University,,,,0:13.4,6/6/2025,"Flukey, C.","Irish, I.",B1,0-0," - ",2,2-2,BIP,Fastball,97,Line Drive,Double,
3,"Flukey, C. VS Irish, I.",Coastal Carolina University vs Auburn University,,,,0:10.7,6/6/2025,"Flukey, C.","Irish, I.",B3,2-1," - ",0,0-2,BIP,Curveball,77,Fly Ball,Flyout,
4,"Flukey, C. VS Irish, I.",Coastal Carolina University vs Auburn University,,,,0:12.4,6/6/2025,"Flukey, C.","Irish, I.",B5,6-2," - ",0,2-0,BIP,Fastball,94,Fly Ball,Home Run,
5,"Fritton, D. VS Irish, I.",Auburn University vs North Carolina State University,,,,0:10.6,6/1/2025,"Fritton, D.","Irish, I.",T1,0-0,2B,1,3-2,BIP,Fastball,95,Line Drive,Single,
6,"Consiglio, C. VS Irish, I.",Auburn University vs North Carolina State University,,,,0:14.9,6/1/2025,"Consiglio, C.","Irish, I.",T4,4-0,1B-2B,1,2-1,BIP,Changeup,81,Fly Ball,Home Run,
7,"Hays, J. VS Irish, I.",Auburn University vs Stetson University,,,,0:09.0,5/31/2025,"Hays, J.","Irish, I.",T1,0-0," - ",2,2-2,BIP,Slider,81,Ground Ball,Groundout,
8,"Hays, J. VS Irish, I.",Auburn University vs Stetson University,,,,0:18.0,5/31/2025,"Hays, J.","Irish, I.",T3,2-0,1B,1,3-2,BIP,Changeup,85,Ground Ball,Double,
9,"Solimine, J. VS Irish, I.",Auburn University vs Stetson University,,,,0:11.6,5/31/2025,"Solimine, J.","Irish, I.",T4,4-1,1B,2,0-1,BIP,Changeup,84,Fly Ball,Flyout,
10,"Van Dyke, T. VS Irish, I.",Auburn University vs Stetson University,,,,0:13.9,5/31/2025,"Van Dyke, T.","Irish, I.",T9,7-5," - ",0,1-0,BIP,Fastball,92,Fly Ball,Home Run,
11,"Munn, D. VS Irish, I.",Central Connecticut State University vs Auburn University,,,,0:16.6,5/30/2025,"Munn, D.","Irish, I.",B1,0-0,1B,1,2-2,BIP,Fastball,93,Line Drive,Double,
12,"Munn, D. VS Irish, I.",Central Connecticut State University vs Auburn University,,,,0:08.3,5/30/2025,"Munn, D.","Irish, I.",B5,4-9," - ",2,0-2,BIP,Fastball,89,Line Drive,Lineout,
13,"Kerstetter, R. VS Irish, I.",Central Connecticut State University vs Auburn University,,,,0:10.7,5/30/2025,"Kerstetter, R.","Irish, I.",B8,5-9," - ",0,0-1,BIP,Slider,72,Line Drive,Single,
14,"Nichols, M. VS Irish, I.",Auburn University vs University of Mississippi,,,,0:14.6,5/17/2025,"Nichols, M.","Irish, I.",T4,0-1," - ",0,2-2,BIP,Slider,87,Fly Ball,Home Run,
15,"Rabe, T. VS Irish, I.",Auburn University vs University of Mississippi,,,,0:07.2,5/17/2025,"Rabe, T.","Irish, I.",T6,5-8,1B-2B,1,0-2,BIP,Fastball,91,Line Drive,Lineout,
16,"Maddox, R. VS Irish, I.",Auburn University vs University of Mississippi,,,,0:15.1,5/16/2025,"Maddox, R.","Irish, I.",T3,1-3," - ",2,1-1,BIP,Fastball,92,Fly Ball,Home Run,
17,"Spencer, C. VS Irish, I.",Auburn University vs University of Mississippi,,,,0:14.2,5/16/2025,"Spencer, C.","Irish, I.",T9,9-15,2B,2,1-2,BIP,Fastball,95,Fly Ball,Home Run,
18,"Rodriguez, R. VS Irish, I.",Auburn University vs University of Mississippi,,,,0:14.6,5/15/2025,"Rodriguez, R.","Irish, I.",T9,0-9,1B,0,2-1,BIP,Fastball,90,Line Drive,Double,
19,"Caldwell, T. VS Irish, I.",Jacksonville State University vs Auburn University,,,,0:10.5,5/13/2025,"Caldwell, T.","Irish, I.",B3,0-7," - ",2,1-0,BIP,Fastball,92,Fly Ball,Flyout,
20,"Crowther, A. VS Irish, I.",University of South Carolina vs Auburn University,,,,0:11.4,5/9/2025,"Crowther, A.","Irish, I.",B7,8-10,1B,1,1-0,BIP,Fastball,90,Ground Ball,Single,
