,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Ike Irish,3.317,3.467,9,,0.364,0.463,0.71,0.15
Run Producer,3.266,3.409,8.5,,,,,0.143
SEC,3.367,3.517,9,,,,,0.15
,3.3,3.442,8.5,,,,,0.142
,3.25,3.383,8,,,,,0.133
,3.3,3.45,9,,,,,0.15
,3.3,3.467,10,,,,,0.167
,3.3,3.45,9,,,,,0.15
,3.35,3.492,8.5,,,,,0.142
,3.316,3.45,8,,,,,0.134
,3.283,3.425,8.5,,,,,0.142
,3.283,3.417,8,,,,,0.134
,3.4,3.55,9,,,,,0.15
,3.316,3.466,9,,,,,0.15
,3.266,3.416,9,,,,,0.15
,3.3,3.433,8,,,,,0.133
,3.283,3.417,8,,,,,0.134
,3.283,3.425,8.5,,,,,0.142
,3.3,3.433,8,,,,,0.133
,3.283,3.425,8.5,,,,,0.142
