#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Diaz, A. VS Freeman, J.",Northwestern University vs Rice University,,,,0:11.0,2/15/2026,"Diaz, A.","Freeman, J.",T1,0-0,1B,0,0-1,BIP,Fastball,87,Line Drive,Single,
2,"Atchley, E. VS Freeman, J.",Northwestern University vs Rice University,,,,0:13.3,2/15/2026,"Atchley, E.","Freeman, J.",T2,4-0,1B-2B,1,2-2,BIP,Fastball,90,Line Drive,Single,
3,"Atchley, E. VS Freeman, J.",Northwestern University vs Rice University,,,,0:20.3,2/15/2026,"Atchley, E.","Freeman, J.",T3,7-5,1B,2,0-0,BIP,Slider,78,Fly Ball,Home Run,
4,"Fuentes, M. VS Freeman, J.",Northwestern University vs Rice University,,,,0:11.7,2/15/2026,"Fuentes, M.","Freeman, J.",T6,10-6,-,0,1-1,BIP,Slider,85,Ground Ball,Single,
5,"Sharp, B. VS Freeman, J.",Northwestern University vs Rice University,,,,0:15.8,2/14/2026,"Sharp, B.","Freeman, J.",T2,0-2,-,0,0-0,BIP,Fastball,87,Fly Ball,Home Run,
6,"Sharp, B. VS Freeman, J.",Northwestern University vs Rice University,,,,0:09.9,2/14/2026,"Sharp, B.","Freeman, J.",T6,3-7,1B,0,0-1,BIP,Fastball,89,Ground Ball,Single,
7,"Barnett, M. VS Freeman, J.",Northwestern University vs UCLA,,,,0:11.0,5/16/2025,"Barnett, M.","Freeman, J.",T5,0-5,1B,0,2-2,BIP,Fastball,90,Ground Ball,Single,
8,"Michalak, J. VS Freeman, J.",Ohio State University vs Northwestern University,,,,0:15.2,5/11/2025,"Michalak, J.","Freeman, J.",B2,0-4,1B-2B-3B,1,0-1,BIP,Changeup,85,Line Drive,Double,
9,"Shaw, H. VS Freeman, J.",Ohio State University vs Northwestern University,,,,0:11.2,5/10/2025,"Shaw, H.","Freeman, J.",B8,11-6,1B,2,1-1,BIP,Fastball,87,Fly Ball,Flyout,
10,"Cook, A. VS Freeman, J.",Northwestern University vs Purdue University,,,,0:15.9,5/3/2025,"Cook, A.","Freeman, J.",T9,4-7,1B,1,0-0,BIP,Fastball,85,Line Drive,Double,
11,"Thomas, J. VS Freeman, J.",University of Washington vs Northwestern University,,,,0:15.5,4/26/2025,"Thomas, J.","Freeman, J.",B1,1-0,-,2,1-1,BIP,Changeup,87,Line Drive,Triple,
12,"Eisenhardt, G. VS Freeman, J.",University of Illinois-Chicago vs Northwestern University,,,,0:12.5,4/22/2025,"Eisenhardt, G.","Freeman, J.",B2,2-0,1B,0,0-1,BIP,Fastball,85,Line Drive,Single,
13,"Timmerman, T. VS Freeman, J.",Northwestern University vs University of Nebraska,,,,0:07.8,4/19/2025,"Timmerman, T.","Freeman, J.",T6,3-11,-,1,0-0,BIP,Fastball,89,Line Drive,Lineout,
14,"Brockett, J. VS Freeman, J.",Northwestern University vs University of Nebraska,,,,0:10.0,4/19/2025,"Brockett, J.","Freeman, J.",T5,0-3,-,0,1-0,BIP,Fastball,88,Fly Ball,Flyout,
15,"Clark, C. VS Freeman, J.",Northwestern University vs University of Nebraska,,,,0:13.5,4/19/2025,"Clark, C.","Freeman, J.",T9,2-5,1B,1,1-0,BIP,Fastball,88,Ground Ball,Single,
16,"Walsh, W. VS Freeman, J.",Northwestern University vs University of Nebraska,,,,0:11.9,4/18/2025,"Walsh, W.","Freeman, J.",T2,1-2,1B,0,3-1,BIP,Fastball,87,Fly Ball,Home Run,
17,"Christo, D. VS Freeman, J.",Northwestern University vs University of Nebraska,,,,0:16.8,4/18/2025,"Christo, D.","Freeman, J.",T5,7-6,-,2,3-2,BIP,Changeup,84,Fly Ball,Ground Rule Double,
18,"Lyman, J. VS Freeman, J.",Northern Illinois University vs Northwestern University,,,,0:13.8,4/15/2025,"Lyman, J.","Freeman, J.",B6,22-6,3B,1,2-1,BIP,Fastball,88,Fly Ball,Double,
19,"Day, A. VS Freeman, J.",Northern Illinois University vs Northwestern University,,,,0:13.6,4/15/2025,"Day, A.","Freeman, J.",B7,27-10,1B,0,2-1,BIP,Fastball,86,Line Drive,Double,
20,"Dzierwa, J. VS Freeman, J.",Northwestern University vs Michigan State University,,,,0:12.7,4/12/2025,"Dzierwa, J.","Freeman, J.",T5,0-0,-,0,1-1,BIP,Fastball,90,Ground Ball,Single,
