,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Jackson Freeman,3.264,3.43,,,0.25,0.352,0.408,0.166
Run Producer,3.304,3.438,,,,,,0.134
Big 10,3.32,3.487,,,,,,0.167
,3.283,3.5,,,,,,0.217
,3.333,3.467,,,,,,0.134
,3.266,3.432,,,,,,0.166
,3.267,3.417,9,,,,,0.15
,3.266,3.433,,,,,,0.167
,3.283,3.433,,,,,,0.15
,3.283,3.433,,,,,,0.15
,3.25,3.383,,,,,,0.133
,3.283,3.433,,,,,,0.15
,3.233,3.4,,,,,,0.167
,3.227,3.377,,,,,,0.15
,3.213,3.38,,,,,,0.167
,3.181,3.3315,,,,,,0.1505
,3.324,3.49,,,,,,0.166
,3.266,3.417,,,,,,0.151
,3.266,3.425,,,,,,0.159
,3.233,3.4,,,,,,0.167
