#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Silva, I. VS Berger, J.",Duke University vs Murray State University,,,,0:11.4,6/8/2025,"Silva, I.","Berger, J.",T5,3-10," - ",1,1-2,BIP,Slider,79,Ground Ball,Groundout,
2,"Oakley, R. VS Berger, J.",Murray State University vs Duke University,,,,0:08.8,6/7/2025,"Oakley, R.","Berger, J.",B8,4-7," - ",0,2-2,BIP,Curveball,75,Line Drive,Lineout,
3,"Curley, B. VS Berger, J.",Duke University vs University of Georgia,,,,0:08.8,5/31/2025,"Curley, B.","Berger, J.",T4,3-1,1B,1,0-0,BIP,Fastball,93,Line Drive,Lined Into Double Play,
4,"Harris, Z. VS Berger, J.",Duke University vs University of Georgia,,,,0:10.5,5/31/2025,"Harris, Z.","Berger, J.",T9,4-2," - ",0,2-2,BIP,Fastball,96,Ground Ball,Groundout,
5,"Pesca, M. VS Berger, J.",Oklahoma State University vs Duke University,,,,0:12.3,5/30/2025,"Pesca, M.","Berger, J.",B3,0-7,2B,1,1-1,BIP,Fastball,89,Fly Ball,Home Run,
6,"Phillips, B. VS Berger, J.",Oklahoma State University vs Duke University,,,,0:10.2,5/30/2025,"Phillips, B.","Berger, J.",B5,1-9," - ",1,1-0,BIP,Cutter,87,Fly Ball,Flyout,
7,"Phillips, B. VS Berger, J.",Oklahoma State University vs Duke University,,,,0:08.3,5/30/2025,"Phillips, B.","Berger, J.",B7,2-12," - ",0,3-1,BIP,Fastball,89,Line Drive,Lineout,
8,"Abraham, J. VS Berger, J.",Duke University vs Florida State University,,,,0:09.4,5/23/2025,"Abraham, J.","Berger, J.",T6,4-12,1B-3B,2,3-2,BIP,Changeup,89,Line Drive,Single,
9,"Jones, B. VS Berger, J.",Georgia Tech vs Duke University,,,,0:14.6,5/17/2025,"Jones, B.","Berger, J.",B2,1-0,2B-3B,1,0-2,BIP,Cutter,88,Line Drive,Sacrifice Fly,
10,"Jones, B. VS Berger, J.",Georgia Tech vs Duke University,,,,0:12.0,5/17/2025,"Jones, B.","Berger, J.",B4,3-2," - ",2,1-1,BIP,Changeup,84,Fly Ball,Flyout,
11,"McKee, T. VS Berger, J.",Georgia Tech vs Duke University,,,,0:13.5,5/15/2025,"McKee, T.","Berger, J.",B2,2-2,1B,1,0-1,BIP,Fastball,93,Fly Ball,Home Run,
12,"McKee, T. VS Berger, J.",Georgia Tech vs Duke University,,,,0:11.4,5/15/2025,"McKee, T.","Berger, J.",B4,2-4," - ",1,2-2,BIP,Cutter,89,Fly Ball,Flyout,
13,"Patel, M. VS Berger, J.",Georgia Tech vs Duke University,,,,0:11.7,5/15/2025,"Patel, M.","Berger, J.",B8,7-4," - ",1,0-0,BIP,Fastball,89,Line Drive,Single,
14,"Allen, J. VS Berger, J.",Duke University vs Clemson University,,,,0:09.9,5/11/2025,"Allen, J.","Berger, J.",T8,7-2,1B-2B-3B,0,0-0,BIP,Fastball,89,Ground Ball,Grounded Into Double Play,
15,"Titsworth, D. VS Berger, J.",Duke University vs Clemson University,,,,0:16.5,5/10/2025,"Titsworth, D.","Berger, J.",T2,2-6," - ",2,1-2,BIP,Changeup,88,Line Drive,Double,
16,"Bell, T. VS Berger, J.",Duke University vs Clemson University,,,,0:10.9,5/10/2025,"Bell, T.","Berger, J.",T5,5-6," - ",2,2-0,BIP,Fastball,89,Line Drive,Single,
17,"Fitzgerald, C. VS Berger, J.",Duke University vs Clemson University,,,,0:17.0,5/10/2025,"Fitzgerald, C.","Berger, J.",T7,11-6,1B-2B-3B,2,0-1,BIP,Fastball,90,Line Drive,Double,
18,"Efird, B. VS Berger, J.",Queens University of Charlotte vs Duke University,,,,0:11.6,5/6/2025,"Efird, B.","Berger, J.",B2,0-2,2B,2,0-1,BIP,Changeup,76,Ground Ball,Single,
19,"Brooker, J. VS Berger, J.",Queens University of Charlotte vs Duke University,,,,0:16.4,5/6/2025,"Brooker, J.","Berger, J.",B7,2-6,1B-2B,0,2-2,BIP,Fastball,88,Fly Ball,Home Run,
20,"Kehoe, J. VS Berger, J.",Radford University vs Duke University,,,,0:10.6,5/4/2025,"Kehoe, J.","Berger, J.",B4,0-10," - ",2,0-2,BIP,Fastball,0,Fly Ball,Flyout,
