,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Jake Berger,3.316,3.467,9,,0.244,0.403,0.434,0.151
Run Producer,3.667,3.817,9,,,,,0.15
ACC,3.316,3.467,9,,,,,0.151
,3.267,3.4,8,,,,,0.133
,3.3,3.442,8.5,,,,,0.142
1,3.283,3.442,9.5,,,,,0.159
,3.25,3.417,10,,,,,0.167
,3.266,3.433,10,,,,,0.167
,3.25,3.4,9,,,,,0.15
,3.316,3.467,9,,,,,0.151
,3.266,3.409,8.5,,,,,0.143
,3.283,3.433,9,,,,,0.15
,3.283,3.433,9,,,,,0.15
,3.3,3.433,8,,,,,0.133
,3.316,3.467,9,,,,,0.151
,3.35,3.483,8,,,,,0.133
,3.266,3.417,9,,,,,0.151
,3.367,3.5,8,,,,,0.133
,3.266,3.417,9,,,,,0.151
,3.35,3.517,10,,,,,0.167
