#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Holcombe, H. VS Bold, J.",Princeton University vs Cornell University,,,,0:16.8,5/3/2025,"Holcombe, H.","Bold, J.",T7,4-5,1B,2,2-2,BIP,Slider,79,Fly Ball,Home Run,
2,"Ohman, J. VS Bold, J.",Princeton University vs Yale University,,,,0:09.9,4/27/2025,"Ohman, J.","Bold, J.",T4,1-1," - ",1,0-2,BIP,Fastball,93,Ground Ball,Single,
3,"Gottam, S. VS Bold, J.",Brown University vs Princeton University,,,,0:15.3,4/19/2025,"Gottam, S.","Bold, J.",B3,0-1,1B-2B-3B,0,0-0,BIP,Fastball,91,Fly Ball,Home Run,
4,"Gallagher, W. VS Bold, J.",Princeton University vs Rider University,,,,0:19.6,4/16/2025,"Gallagher, W.","Bold, J.",T9,18-6,1B,1,1-1,BIP,Slider,0,Fly Ball,Home Run,
5,"Pauley, T. VS Bold, J.",Princeton University vs Harvard University,,,,0:12.5,4/11/2025,"Pauley, T.","Bold, J.",T7,0-2," - ",0,2-2,BIP,Slider,0,Ground Ball,Groundout,
6,"Pauley, T. VS Bold, J.",Princeton University vs Harvard University,,,,0:20.0,4/11/2025,"Pauley, T.","Bold, J.",T9,0-3,1B,1,0-2,BIP,Slider,0,Line Drive,Double,
7,"Ciccone, J. VS Bold, J.",Princeton University vs Monmouth University,,,,0:09.6,4/9/2025,"Ciccone, J.","Bold, J.",T5,1-7," - ",2,3-0,BIP,Fastball,83,Ground Ball,Single,
8,"von Zuben, A. VS Bold, J.",Princeton University vs University of Pennsylvania,,,,0:10.9,4/5/2025,"von Zuben, A.","Bold, J.",T6,5-4," - ",0,1-1,BIP,Fastball,88,Line Drive,Single,
9,"Millikan, N. VS Bold, J.",Princeton University vs University of Pennsylvania,,,,0:09.2,4/4/2025,"Millikan, N.","Bold, J.",T1,0-0," - ",0,0-1,BIP,Fastball,90,Fly Ball,Flyout,
10,"Katz, J. VS Bold, J.",Princeton University vs University of Pennsylvania,,,,0:17.3,4/4/2025,"Katz, J.","Bold, J.",T3,1-1," - ",0,2-2,BIP,Slider,79,Fly Ball,Home Run,
11,"Katz, J. VS Bold, J.",Princeton University vs University of Pennsylvania,,,,0:12.2,4/4/2025,"Katz, J.","Bold, J.",T4,3-4," - ",2,0-0,BIP,Fastball,89,Line Drive,Single,
12,"Gleason, Z. VS Bold, J.",Princeton University vs Rutgers University,,,,0:15.4,3/26/2025,"Gleason, Z.","Bold, J.",T1,0-0," - ",2,3-2,BIP,Fastball,90,Fly Ball,Home Run,
13,"Albert, E. VS Bold, J.",Dartmouth College vs Princeton University,,,,0:17.4,3/22/2025,"Albert, E.","Bold, J.",B5,1-1,1B,0,1-1,BIP,Fastball,90,Line Drive,Triple,
14,"Finn, B. VS Bold, J.",Princeton University vs Villanova University,,,,0:16.9,3/19/2025,"Finn, B.","Bold, J.",T4,0-3," - ",0,1-0,BIP,Fastball,85,Fly Ball,Flyout,
15,"Webb, J. VS Bold, J.",Princeton University vs Liberty University,,,,0:13.3,3/15/2025,"Webb, J.","Bold, J.",T9,4-6," - ",1,3-2,BIP,Fastball,90,Fly Ball,Double,
16,"McGrady, J. VS Bold, J.",Princeton University vs Virginia Commonwealth University,,,,0:11.3,3/9/2025,"McGrady, J.","Bold, J.",T4,0-2," - ",0,1-1,BIP,Slider,81,Fly Ball,Flyout,
17,"McGrady, J. VS Bold, J.",Princeton University vs Virginia Commonwealth University,,,,0:10.3,3/9/2025,"McGrady, J.","Bold, J.",T6,0-5," - ",2,3-2,BIP,Slider,80,Line Drive,Single,
18,"Dressler, C. VS Bold, J.",Princeton University vs Virginia Commonwealth University,,,,0:09.6,3/8/2025,"Dressler, C.","Bold, J.",T3,2-0,2B-3B,0,2-2,BIP,Fastball,89,Fly Ball,Home Run,
19,"Billings, L. VS Bold, J.",Princeton University vs Wake Forest University,,,,0:16.2,3/2/2025,"Billings, L.","Bold, J.",T4,5-1,1B-2B,2,2-0,BIP,Fastball,87,Line Drive,Double,
20,"Wren, J. VS Bold, J.",University of Maryland-College Park vs Princeton University,,,,0:16.0,3/1/2025,"Wren, J.","Bold, J.",B8,10-3," - ",0,0-1,BIP,Fastball,87,Fly Ball,Double,
