,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Jake Bold,3.25,3.4,9,,0.268,0.444,0.493,0.15
Run Producer,3.3,3.467,,,,,,0.167
Ivy League,3.333,3.467,8,,,,,0.134
,3.333,3.5,10,,,,,0.167
,3.316,3.483,,,,,,0.167
,3.25,3.417,,,,,,0.167
,3.3,3.451,9,,,,,0.151
,3.3,3.433,8,,,,,0.133
,3.266,3.433,9,,,,,0.167
,3.333,3.483,9,,,,,0.15
,3.281,3.431,9,,,,,0.15
,3.233,3.425,,,,,,0.192
,3.233,3.433,,,,,,0.2
,3.316,3.467,,,,,,0.151
,3.266,3.417,9,,,,,0.151
,3.3,3.5,11,,,,,0.2
,3.316,3.467,9,,,,,0.151
,3.283,3.417,8,,,,,0.134
,3.267,3.434,,,,,,0.167
,3.333,3.483,,,,,,0.15
