#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Barlow, B. VS Carrion, J.",University of South Carolina vs University of Florida,,,,0:11.2,5/20/2025,"Barlow, B.","Carrion, J.",T4,1-5," - ",2,1-2,BIP,Fastball,92,Line Drive,Single,
2,"Rowland, B. VS Carrion, J.",University of South Carolina vs University of Florida,,,,0:14.9,5/20/2025,"Rowland, B.","Carrion, J.",T8,2-7,2B,1,0-1,BIP,Changeup,83,Line Drive,Double,
3,"Cowan, Z. VS Carrion, J.",Louisiana State University vs University of South Carolina,,,,0:09.0,5/15/2025,"Cowan, Z.","Carrion, J.",B8,5-4," - ",1,1-1,BIP,Changeup,81,Line Drive,Lineout,
4,"Keup, S. VS Carrion, J.",Winthrop University vs University of South Carolina,,,,0:10.6,5/13/2025,"Keup, S.","Carrion, J.",B7,5-1," - ",2,0-1,BIP,Slider,77,Fly Ball,Flyout,
5,"Armstrong, J. VS Carrion, J.",University of South Carolina vs Auburn University,,,,0:11.6,5/9/2025,"Armstrong, J.","Carrion, J.",T6,5-7," - ",0,1-0,BIP,Fastball,89,Line Drive,Single,
6,"Philpott, A. VS Carrion, J.",University of Florida vs University of South Carolina,,,,0:12.5,5/2/2025,"Philpott, A.","Carrion, J.",B1,0-1,1B-2B,1,3-2,BIP,Fastball,0,Ground Ball,Double,
7,"Adams, B. VS Carrion, J.",University of North Florida vs University of South Carolina,,,,0:11.7,4/22/2025,"Adams, B.","Carrion, J.",B10,2-2," - ",0,0-0,BIP,Fastball,91,Ground Ball,Double,
8,"Cummiskey, C. VS Carrion, J.",The Citadel vs University of South Carolina,,,,0:09.2,4/15/2025,"Cummiskey, C.","Carrion, J.",B1,0-0,1B,1,0-1,BIP,Slider,82,Ground Ball,Fielder's Choice - Out,
9,"Patel, A. VS Carrion, J.",The Citadel vs University of South Carolina,,,,0:09.6,4/15/2025,"Patel, A.","Carrion, J.",B6,0-4," - ",2,1-0,BIP,Fastball,87,Ground Ball,Groundout,
10,"Patton, M. VS Carrion, J.",University of South Carolina vs Texas A&M University,,,,0:10.6,4/12/2025,"Patton, M.","Carrion, J.",T4,1-2," - ",0,0-0,BIP,Fastball,89,Fly Ball,Flyout,
11,"Jackson, L. VS Carrion, J.",University of South Carolina vs Texas A&M University,,,,0:12.2,4/12/2025,"Jackson, L.","Carrion, J.",T6,9-2,2B-3B,1,3-2,BIP,Fastball,96,Line Drive,Single,
12,"Lamkin, J. VS Carrion, J.",University of South Carolina vs Texas A&M University,,,,0:09.9,4/11/2025,"Lamkin, J.","Carrion, J.",T4,0-6," - ",0,1-1,BIP,Changeup,82,Line Drive,Lineout,
13,"Prager, R. VS Carrion, J.",University of South Carolina vs Texas A&M University,,,,0:08.5,4/10/2025,"Prager, R.","Carrion, J.",T3,3-1," - ",1,1-1,BIP,Fastball,87,Line Drive,Lineout,
14,"Reyes, J. VS Carrion, J.",University of South Carolina Upstate vs University of South Carolina,,,,0:17.5,4/8/2025,"Reyes, J.","Carrion, J.",B6,0-7,1B-2B-3B,1,1-1,BIP,Fastball,91,Line Drive,Double,
15,"Kohn, P. VS Carrion, J.",University of South Carolina vs Mississippi State University,,,,0:13.3,4/4/2025,"Kohn, P.","Carrion, J.",T4,1-3," - ",0,0-0,BIP,Fastball,90,Ground Ball,Double,
16,"Kohn, P. VS Carrion, J.",University of South Carolina vs Mississippi State University,,,,0:08.2,4/4/2025,"Kohn, P.","Carrion, J.",T5,3-3,1B,2,3-1,BIP,Fastball,91,Line Drive,Lineout,
17,"Saint, Y. VS Carrion, J.",Presbyterian College vs University of South Carolina,,,,0:10.6,4/1/2025,"Saint, Y.","Carrion, J.",B4,1-2,2B,0,0-0,BIP,Fastball,88,Line Drive,Lineout,
18,"Kuhns, T. VS Carrion, J.",University of Tennessee vs University of South Carolina,,,,0:11.6,3/30/2025,"Kuhns, T.","Carrion, J.",B4,3-1,2B-3B,1,0-0,BIP,Curveball,78,Ground Ball,Groundout,
19,"Snead, N. VS Carrion, J.",University of Tennessee vs University of South Carolina,,,,0:13.1,3/29/2025,"Snead, N.","Carrion, J.",B6,3-3,1B-2B-3B,1,2-1,BIP,Fastball,97,Line Drive,Fielder's Choice - Out,
20,"Doyle, L. VS Carrion, J.",University of Tennessee vs University of South Carolina,,,,0:12.4,3/28/2025,"Doyle, L.","Carrion, J.",B2,6-2," - ",2,1-1,BIP,Changeup,88,Ground Ball,Single,
