,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Jordan Carrion,3.211,3.411,,,0.288,0.333,0.336,0.2
Barrel Controller,3.289,3.489,,,,,,0.2
SEC,3.316,3.483,10,,,,,0.167
,3.316,3.492,10.5,,,,,0.176
,3.25,3.425,10.5,,,,,0.175
,3.266,3.433,10,,,,,0.167
,3.25,3.425,10.5,,,,,0.175
,3.283,3.483,12,,,,,0.2
,3.3,3.467,10,,,,,0.167
,3.266,3.433,10,,,,,0.167
,3.217,3.383,10,,,,,0.166
,3.317,3.5,11,,,,,0.183
,3.316,3.483,10,,,,,0.167
,3.266,3.442,10.5,,,,,0.176
,3.266,3.417,9,,,,,0.151
,3.266,3.425,9.5,,,,,0.159
,3.283,3.442,9.5,,,,,0.159
,3.333,3.5,10,,,,,0.167
,3.266,3.417,9,,,,,0.151
,3.25,3.417,10,,,,,0.167
