#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Middleton, J. VS Snell, K.",University of Alabama vs The University of Southern Mississippi,,,,0:10.2,5/31/2025,"Middleton, J.","Snell, K.",T1,0-0," - ",2,0-2,BIP,Fastball,97,Fly Ball,Flyout,
2,"Middleton, J. VS Snell, K.",University of Alabama vs The University of Southern Mississippi,,,,0:13.4,5/31/2025,"Middleton, J.","Snell, K.",T6,3-3,1B,1,0-0,BIP,Slider,85,Ground Ball,Single,
3,"Fischer, C. VS Snell, K.",University of Miami vs University of Alabama,,,,0:13.4,5/30/2025,"Fischer, C.","Snell, K.",B8,5-3," - ",0,0-1,BIP,Fastball,92,Line Drive,Single,
4,"Walters, B. VS Snell, K.",University of Miami vs University of Alabama,,,,0:14.4,5/30/2025,"Walters, B.","Snell, K.",B9,5-3,1B-2B,2,1-0,BIP,Fastball,94,Fly Ball,Flyout,
5,"Horn, S. VS Snell, K.",University of Missouri vs University of Alabama,,,,0:09.2,5/20/2025,"Horn, S.","Snell, K.",B3,0-0,1B,1,1-0,BIP,Fastball,96,Ground Ball,Groundout,
6,"Libbert, W. VS Snell, K.",University of Missouri vs University of Alabama,,,,0:12.2,5/20/2025,"Libbert, W.","Snell, K.",B4,1-1,1B-3B,2,1-0,BIP,Slider,79,Ground Ball,Single,
7,"McNeillie, L. VS Snell, K.",University of Alabama vs University of Florida,,,,0:08.6,5/17/2025,"McNeillie, L.","Snell, K.",T7,2-8," - ",2,0-0,BIP,Fastball,95,Line Drive,Lineout,
8,"McDonald, C. VS Snell, K.",University of Alabama vs University of Florida,,,,0:09.8,5/16/2025,"McDonald, C.","Snell, K.",T9,7-2,3B,0,1-1,BIP,Changeup,82,Ground Ball,Groundout,
9,"Peterson, L. VS Snell, K.",University of Alabama vs University of Florida,,,,0:10.0,5/15/2025,"Peterson, L.","Snell, K.",T1,0-0,1B,1,1-2,BIP,Fastball,95,Line Drive,Lineout,
10,"Peterson, L. VS Snell, K.",University of Alabama vs University of Florida,,,,0:08.8,5/15/2025,"Peterson, L.","Snell, K.",T3,4-0," - ",1,0-1,BIP,Fastball,95,Fly Ball,Flyout,
11,"Finley, L. VS Snell, K.",University of Georgia vs University of Alabama,,,,0:09.1,5/11/2025,"Finley, L.","Snell, K.",B1,0-0,1B-3B,0,2-0,BIP,Slider,85,Line Drive,Lineout,
12,"Finley, L. VS Snell, K.",University of Georgia vs University of Alabama,,,,0:10.6,5/11/2025,"Finley, L.","Snell, K.",B2,0-2,1B,2,0-0,BIP,Slider,85,Line Drive,Home Run,
13,"Curley, B. VS Snell, K.",University of Georgia vs University of Alabama,,,,0:15.9,5/9/2025,"Curley, B.","Snell, K.",B3,1-0,1B-2B-3B,1,2-0,BIP,Fastball,95,Line Drive,Double,
14,"Falinski, A. VS Snell, K.",University of Alabama vs Troy University,,,,0:11.5,5/6/2025,"Falinski, A.","Snell, K.",T2,4-0,1B-2B,1,3-2,BIP,Slider,88,Fly Ball,Home Run,
15,"Fennell, C. VS Snell, K.",University of Alabama vs Vanderbilt University,,,,0:16.1,5/4/2025,"Fennell, C.","Snell, K.",T1,0-0," - ",2,0-0,BIP,Changeup,78,Line Drive,Triple,
16,"Bowker, C. VS Snell, K.",University of Alabama vs Vanderbilt University,,,,0:13.8,5/3/2025,"Bowker, C.","Snell, K.",T1,0-0," - ",2,2-2,BIP,Fastball,94,Fly Ball,Double,
17,"Huesman, L. VS Snell, K.",University of Alabama vs Vanderbilt University,,,,0:11.9,5/3/2025,"Huesman, L.","Snell, K.",T5,2-1,1B,1,0-1,BIP,Fastball,91,Ground Ball,Single,
18,"Thompson, J. VS Snell, K.",University of Alabama vs Vanderbilt University,,,,0:13.5,5/2/2025,"Thompson, J.","Snell, K.",T6,0-0," - ",2,0-1,BIP,Fastball,92,Line Drive,Double,
19,"Neubeck, T. VS Snell, K.",University of Missouri vs University of Alabama,,,,0:16.6,4/26/2025,"Neubeck, T.","Snell, K.",B2,0-6,2B,0,3-2,BIP,Fastball,88,Fly Ball,Double,
20,"Libbert, W. VS Snell, K.",University of Missouri vs University of Alabama,,,,0:13.9,4/25/2025,"Libbert, W.","Snell, K.",B3,0-0,1B,0,0-1,BIP,Fastball,91,Fly Ball,Home Run,
