,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Kade Snell,3.266,3.392,7.5,,0.363,0.464,0.575,0.126
Run Producer,3.3,3.433,8,,,,,0.133
SEC,3.316,3.433,7,,,,,0.117
,3.266,3.4,8,,,,,0.134
,3.266,3.4,8,,,,,0.134
,3.35,3.483,8,,,,,0.133
,3.266,3.392,7.5,,,,,0.126
,3.367,3.492,7.5,,,,,0.125
,3.3,3.433,8,,,,,0.133
,3.283,3.417,8,,,,,0.134
,3.317,3.451,8,,,,,0.134
,3.317,3.451,8,,,,,0.134
,3.266,3.4,8,,,,,0.134
,3.3,3.433,8,,,,,0.133
,3.355,3.483,8,,,,,0.128
,3.266,3.4,,,,,,0.134
,3.3,3.425,7.5,,,,,0.125
,3.3,3.417,7,,,,,0.117
,3.266,3.4,8,,,,,0.134
,3.3,3.433,8,,,,,0.133
