#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Hansen, T. VS Walker, K.",Arizona State University vs UC Irvine,,,,0:10.6,5/30/2025,"Hansen, T.","Walker, K.",T3,2-2," - ",0,0-0,BIP,Fastball,92,Ground Ball,Groundout,
2,"Reiser, J. VS Walker, K.",Brigham Young University vs Arizona State University,,,,0:09.7,5/21/2025,"Reiser, J.","Walker, K.",B1,0-0," - ",0,0-0,BIP,Fastball,85,Fly Ball,Flyout,
3,"Reiser, J. VS Walker, K.",Brigham Young University vs Arizona State University,,,,0:12.0,5/21/2025,"Reiser, J.","Walker, K.",B3,1-0," - ",2,1-1,BIP,Changeup,79,Line Drive,Single,
4,"Ure, R. VS Walker, K.",Arizona State University vs Oklahoma State University,,,,0:10.5,5/17/2025,"Ure, R.","Walker, K.",T7,3-3," - ",0,0-1,BIP,Fastball,0,Line Drive,Single,
5,"Pesca, M. VS Walker, K.",Arizona State University vs Oklahoma State University,,,,0:11.7,5/16/2025,"Pesca, M.","Walker, K.",T1,0-0," - ",0,2-1,BIP,Fastball,94,Ground Ball,Single,
6,"Bodendorf, H. VS Walker, K.",Arizona State University vs Oklahoma State University,,,,0:10.7,5/15/2025,"Bodendorf, H.","Walker, K.",T1,0-0," - ",0,3-1,BIP,Fastball,0,Line Drive,Single,
7,"Ure, R. VS Walker, K.",Arizona State University vs Oklahoma State University,,,,0:14.4,5/15/2025,"Ure, R.","Walker, K.",T8,1-6,1B,0,1-1,BIP,Fastball,92,Ground Ball,Fielder's Choice - Out,
8,"Gregory, B. VS Walker, K.",Grand Canyon University vs Arizona State University,,,,0:14.7,5/13/2025,"Gregory, B.","Walker, K.",B7,7-8," - ",1,1-2,BIP,Slider,80,Fly Ball,Home Run,
9,"Hanson, J. VS Walker, K.",Grand Canyon University vs Arizona State University,,,,0:17.9,5/13/2025,"Hanson, J.","Walker, K.",B7,7-15,1B,2,1-1,BIP,Fastball,92,Line Drive,Double,
10,"Roman, R. VS Walker, K.",University of Houston vs Arizona State University,,,,0:13.6,5/11/2025,"Roman, R.","Walker, K.",B4,1-7,2B,1,0-0,BIP,Cutter,91,Line Drive,Double,
11,"Hoffman, K. VS Walker, K.",University of Houston vs Arizona State University,,,,0:18.3,5/10/2025,"Hoffman, K.","Walker, K.",B5,3-7," - ",1,1-1,BIP,Changeup,84,Fly Ball,Home Run,
12,"Scinta, C. VS Walker, K.",University of Houston vs Arizona State University,,,,0:15.5,5/9/2025,"Scinta, C.","Walker, K.",B3,1-1,1B-2B,0,1-0,BIP,Slider,83,Fly Ball,Flyout,
13,"Bales, B. VS Walker, K.",Arizona State University vs Baylor University,,,,0:17.0,5/2/2025,"Bales, B.","Walker, K.",T6,2-1,2B,0,3-2,BIP,Fastball,90,Fly Ball,Home Run,
14,"Russell, J. VS Walker, K.",Long Beach State University vs Arizona State University,,,,0:12.7,4/30/2025,"Russell, J.","Walker, K.",B4,6-14," - ",0,2-0,BIP,Fastball,89,Line Drive,Single,
15,"Pirrello, M. VS Walker, K.",Long Beach State University vs Arizona State University,,,,0:15.1,4/30/2025,"Pirrello, M.","Walker, K.",B6,6-15," - ",0,2-2,BIP,Slider,80,Ground Ball,Double,
16,"Sumner, G. VS Walker, K.",Brigham Young University vs Arizona State University,,,,0:10.0,4/26/2025,"Sumner, G.","Walker, K.",B2,0-5," - ",1,2-1,BIP,Slider,84,Line Drive,Lineout,
17,"Harris, J. VS Walker, K.",Brigham Young University vs Arizona State University,,,,0:10.7,4/25/2025,"Harris, J.","Walker, K.",B2,2-5,1B,0,2-1,BIP,Fastball,89,Fly Ball,Flyout,
18,"Ficklin, N. VS Walker, K.",Brigham Young University vs Arizona State University,,,,0:12.1,4/25/2025,"Ficklin, N.","Walker, K.",B3,2-7," - ",2,1-0,BIP,Fastball,85,Fly Ball,Home Run,
19,"Gubler, P. VS Walker, K.",Brigham Young University vs Arizona State University,,,,0:16.9,4/24/2025,"Gubler, P.","Walker, K.",B4,2-3,1B,1,1-0,BIP,Fastball,89,Line Drive,Double,
20,"Key, C. VS Walker, K.",Arizona State University vs Grand Canyon University,,,,0:14.2,4/22/2025,"Key, C.","Walker, K.",T1,0-0," - ",0,0-0,BIP,Fastball,88,Fly Ball,Double,
