,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Kyle Walker,3.333,3.467,8,,0.35,0.448,0.547,0.134
On-Baser,3.322,3.473,,,,,,0.151
Big 12,3.337,3.487,,,,,,0.15
,3.3,3.417,7,,,,,0.117
,3.433,3.567,8,,,,,0.134
,3.266,3.409,8.5,,,,,0.143
,3.283,3.417,8,,,,,0.134
,3.35,3.483,8,,,,,0.133
,3.283,3.433,9,,,,,0.15
,3.266,3.408,8.5,,,,,0.142
,3.316,3.45,8,,,,,0.134
,3.316,3.433,7,,,,,0.117
,3.3,3.425,7.5,,,,,0.125
,3.283,3.425,8.5,,,,,0.142
,3.333,3.475,8.5,,,,,0.142
,3.3,3.433,8,,,,,0.133
,3.3,3.433,8,,,,,0.133
,3.3,3.459,9.5,,,,,0.159
,3.283,3.425,8.5,,,,,0.142
,3.283,3.425,8.5,,,,,0.142
