#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Eikhoff, R. VS Moore, L.",University of Louisville vs Coastal Carolina University,,,,0:10.9,6/18/2025,"Eikhoff, R.","Moore, L.",T3,0-6,1B,2,0-1,BIP,Fastball,91,Fly Ball,Flyout,
2,"Johnson, H. VS Moore, L.",University of Louisville vs Coastal Carolina University,,,,0:11.4,6/18/2025,"Johnson, H.","Moore, L.",T7,3-10," - ",0,0-0,BIP,Fastball,91,Fly Ball,Flyout,
3,"Carbone, D. VS Moore, L.",University of Louisville vs Coastal Carolina University,,,,0:08.2,6/18/2025,"Carbone, D.","Moore, L.",T9,3-11,1B-2B,1,1-1,BIP,Slider,82,Ground Ball,Groundout,
4,"Hutcheson, A. VS Moore, L.",Oregon State University vs University of Louisville,,,,0:08.6,6/17/2025,"Hutcheson, A.","Moore, L.",B4,2-4,2B,2,2-1,BIP,Fastball,88,Ground Ball,Groundout,
5,"Bailey, S. VS Moore, L.",University of Arizona vs University of Louisville,,,,0:13.6,6/15/2025,"Bailey, S.","Moore, L.",B3,3-1,1B,1,0-2,BIP,Fastball,91,Fly Ball,Flyout,
6,"Hicks, G. VS Moore, L.",University of Arizona vs University of Louisville,,,,0:14.3,6/15/2025,"Hicks, G.","Moore, L.",B7,3-1,2B-3B,1,1-0,BIP,Fastball,92,Fly Ball,Sacrifice Fly,
7,"Whitney, D. VS Moore, L.",University of Louisville vs Oregon State University,,,,0:10.7,6/13/2025,"Whitney, D.","Moore, L.",T6,0-2,1B,0,3-1,BIP,Fastball,93,Line Drive,Single,
8,"Lumpkin, R. VS Moore, L.",University of Miami vs University of Louisville,,,,0:13.3,6/8/2025,"Lumpkin, R.","Moore, L.",B3,2-0,2B,1,0-0,BIP,Changeup,82,Fly Ball,Flyout,
9,"Cleveland, J. VS Moore, L.",University of Miami vs University of Louisville,,,,0:11.2,6/8/2025,"Cleveland, J.","Moore, L.",B8,2-3,1B-2B,2,0-0,BIP,Fastball,90,Fly Ball,Flyout,
10,"Lax, C. VS Moore, L.",University of Louisville vs Wright State University,,,,0:13.0,6/1/2025,"Lax, C.","Moore, L.",T2,2-0,1B,1,1-0,BIP,Slider,75,Line Drive,Single,
11,"Paplanus, M. VS Moore, L.",University of Louisville vs Wright State University,,,,0:15.1,6/1/2025,"Paplanus, M.","Moore, L.",T8,6-0,1B,1,2-1,BIP,Changeup,82,Fly Ball,Flyout,
12,"Fennell, C. VS Moore, L.",University of Louisville vs Vanderbilt University,,,,0:15.4,5/31/2025,"Fennell, C.","Moore, L.",T7,3-2,1B,0,1-1,BIP,Changeup,79,Fly Ball,Flyout,
13,"Fink, C. VS Moore, L.",East Tennessee State University vs University of Louisville,,,,0:14.3,5/30/2025,"Fink, C.","Moore, L.",B3,2-0,2B,2,2-2,BIP,Fastball,88,Fly Ball,Home Run,
14,"Reed, R. VS Moore, L.",University of Pittsburgh vs University of Louisville,,,,0:09.3,5/20/2025,"Reed, R.","Moore, L.",B1,3-0," - ",0,3-2,BIP,Fastball,92,Ground Ball,Groundout,
15,"Levonas, C. VS Moore, L.",Wake Forest University vs University of Louisville,,,,0:10.4,5/17/2025,"Levonas, C.","Moore, L.",B1,0-0," - ",0,3-2,BIP,Fastball,95,Fly Ball,Flyout,
16,"Levonas, C. VS Moore, L.",Wake Forest University vs University of Louisville,,,,0:10.9,5/17/2025,"Levonas, C.","Moore, L.",B2,0-4," - ",2,1-1,BIP,Fastball,96,Line Drive,Single,
17,"Marsten, D. VS Moore, L.",Wake Forest University vs University of Louisville,,,,0:08.2,5/16/2025,"Marsten, D.","Moore, L.",B7,5-3," - ",0,0-0,BIP,Fastball,94,Ground Ball,Groundout,
18,"Carver, C. VS Moore, L.",Bellarmine University vs University of Louisville,,,,0:11.2,5/13/2025,"Carver, C.","Moore, L.",B9,10-9,3B,2,0-0,BIP,Fastball,89,Fly Ball,Flyout,
19,"Paden, J. VS Moore, L.",University of Louisville vs Georgia Tech,,,,0:08.1,5/11/2025,"Paden, J.","Moore, L.",T1,0-0," - ",0,3-2,BIP,Fastball,93,Fly Ball,Flyout,
20,"McKee, T. VS Moore, L.",University of Louisville vs Georgia Tech,,,,0:08.4,5/9/2025,"McKee, T.","Moore, L.",T1,0-0," - ",0,1-1,BIP,Fastball,93,Ground Ball,Groundout,
