,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Lucas Moore,3.3,3.433,8,,0.337,0.425,0.444,0.133
On-Baser,3.283,3.417,8,,,,,0.134
ACC,3.333,3.467,8,,,,,0.134
,3.333,3.459,7.5,,,,,0.126
,3.266,3.417,9,,,,,0.151
,3.3,3.417,7,,,,,0.117
,3.25,3.383,8,,,,,0.133
,3.383,3.517,8,,,,,0.134
,3.333,3.475,8.5,,,,,0.142
,3.43,3.55,7,,,,,0.12
,3.366,3.483,7,,,,,0.117
,3.375,3.5,7.5,,,,,0.125
,3.3,3.45,9,,,,,0.15
,3.261,3.412,,,,,,0.151
,3.25,3.383,8,,,,,0.133
,3.233,3.383,9,,,,,0.15
,3.283,3.417,,,,,,0.134
,3.3,3.442,8.5,,,,,0.142
,3.3,3.425,7.5,,,,,0.125
,3.283,3.4,7,,,,,0.117
