#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Schutte, N. VS Hill, L.",Murray State University vs University of Mississippi,,,,0:15.4,6/2/2025,"Schutte, N.","Hill, L.",B6,10-3,1B,0,0-1,BIP,Slider,76,Fly Ball,Flyout,
2,"Ballard, C. VS Hill, L.",Georgia Tech vs University of Mississippi,,,,0:14.6,6/1/2025,"Ballard, C.","Hill, L.",B2,3-5," - ",0,0-2,BIP,Cutter,89,Line Drive,Double,
3,"Chaudoin, P. VS Hill, L.",University of Mississippi vs Murray State University,,,,0:12.3,6/1/2025,"Chaudoin, P.","Hill, L.",T6,16-6,1B,0,1-0,BIP,Slider,79,Ground Ball,Single,
4,"Bennett, J. VS Hill, L.",University of Mississippi vs Western Kentucky University,,,,0:10.3,5/31/2025,"Bennett, J.","Hill, L.",T1,1-0," - ",0,2-0,BIP,Fastball,90,Line Drive,Single,
5,"Hall, D. VS Hill, L.",University of Mississippi vs Western Kentucky University,,,,0:16.1,5/31/2025,"Hall, D.","Hill, L.",T4,4-2,2B,2,0-0,BIP,Changeup,79,Line Drive,Single,
6,"Nye, A. VS Hill, L.",University of Mississippi vs Vanderbilt University,,,,0:11.6,5/25/2025,"Nye, A.","Hill, L.",T3,0-2,1B,2,0-1,BIP,Slider,85,Fly Ball,Flyout,
7,"Guth, L. VS Hill, L.",University of Mississippi vs Vanderbilt University,,,,0:12.0,5/25/2025,"Guth, L.","Hill, L.",T5,1-2,1B-3B,2,2-2,BIP,Fastball,94,Fly Ball,Flyout,
8,"Mayers, J. VS Hill, L.",University of Mississippi vs Louisiana State University,,,,0:11.5,5/24/2025,"Mayers, J.","Hill, L.",T7,2-0,2B,2,1-2,BIP,Fastball,101,Fly Ball,Flyout,
9,"Root, Z. VS Hill, L.",University of Mississippi vs University of Arkansas,,,,0:13.3,5/23/2025,"Root, Z.","Hill, L.",T2,5-1,1B,1,2-2,BIP,Fastball,93,Fly Ball,Flyout,
10,"Watts, D. VS Hill, L.",Auburn University vs University of Mississippi,,,,0:12.0,5/17/2025,"Watts, D.","Hill, L.",B5,3-4,1B-2B,0,2-2,BIP,Fastball,94,Line Drive,Single,
11,"Tilly, C. VS Hill, L.",Auburn University vs University of Mississippi,,,,0:12.0,5/15/2025,"Tilly, C.","Hill, L.",B5,0-0,1B-2B-3B,1,3-1,BIP,Slider,80,Line Drive,Sacrifice Fly,
12,"Siary, E. VS Hill, L.",University of Mississippi vs Mississippi State University,,,,0:09.5,5/9/2025,"Siary, E.","Hill, L.",T1,0-0,1B,0,0-0,BIP,Slider,87,Ground Ball,Grounded Into Double Play,
13,"Witherspoon, M. VS Hill, L.",University of Mississippi vs University of Oklahoma,,,,0:10.6,5/4/2025,"Witherspoon, M.","Hill, L.",T3,1-1,1B-3B,0,2-0,BIP,Fastball,97,Ground Ball,Single,
14,"Jones, G. VS Hill, L.",University of Mississippi vs University of Oklahoma,,,,0:10.2,5/4/2025,"Jones, G.","Hill, L.",T6,6-2,1B,1,0-1,BIP,Fastball,93,Fly Ball,Flyout,
15,"Cox, C. VS Hill, L.",Austin Peay State University vs University of Mississippi,,,,0:11.4,4/29/2025,"Cox, C.","Hill, L.",B5,3-1," - ",1,2-2,BIP,Fastball,89,Line Drive,Lineout,
16,"Cox, C. VS Hill, L.",Austin Peay State University vs University of Mississippi,,,,0:14.3,4/29/2025,"Cox, C.","Hill, L.",B7,3-2,2B,2,1-2,BIP,Fastball,89,Line Drive,Single,
17,"Pollard, D. VS Hill, L.",Austin Peay State University vs University of Mississippi,,,,0:09.1,4/29/2025,"Pollard, D.","Hill, L.",B8,3-6,3B,2,2-1,BIP,Fastball,92,Line Drive,Lineout,
18,"Fennell, C. VS Hill, L.",Vanderbilt University vs University of Mississippi,,,,0:16.1,4/27/2025,"Fennell, C.","Hill, L.",B1,2-0," - ",1,0-0,BIP,Fastball,90,Fly Ball,Double,
19,"Thompson, J. VS Hill, L.",Vanderbilt University vs University of Mississippi,,,,0:18.1,4/25/2025,"Thompson, J.","Hill, L.",B5,1-1," - ",0,0-1,BIP,Fastball,90,Fly Ball,Home Run,
20,"Bryan, E. VS Hill, L.",Vanderbilt University vs University of Mississippi,,,,0:12.0,4/25/2025,"Bryan, E.","Hill, L.",B6,1-5," - ",1,0-0,BIP,Fastball,98,Line Drive,Lineout,
