,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Luke Hill,3.35,3.517,10,,0.329,0.458,0.487,0.167
On-Baser,3.283,3.45,10,,,,,0.167
SEC,3.35,3.467,7,,,,,0.117
,3.316,3.467,9,,,,,0.151
,3.3,3.45,9,,,,,0.15
,3.28,3.447,,,,,,0.167
,3.228,3.395,,,,,,0.167
,3.233,3.384,,,,,,0.151
,3.256,3.423,,,,,,0.167
,3.283,3.417,8,,,,,0.134
,3.316,3.467,9,,,,,0.151
,3.3,3.433,8,,,,,0.133
,3.25,3.4,9,,,,,0.15
,3.25,3.417,10,,,,,0.167
,3.283,3.433,9,,,,,0.15
,3.283,3.433,9,,,,,0.15
,3.266,3.417,9,,,,,0.151
,3.216,3.366,9,,,,,0.15
,3.316,3.45,8,,,,,0.134
,3.333,3.475,8.5,,,,,0.142
