#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Kramkowski, O. VS Lavin, L.",Stanford University vs University of Arizona,,,,0:11.8,2/13/2026,"Kramkowski, O.","Lavin, L.",T2,0-1,1B,0,3-2,BIP,Slider,85,Fly Ball,Flyout,
2,"Morris, P. VS Lavin, L.",Stanford University vs University of Arizona,,,,0:14.2,2/13/2026,"Morris, P.","Lavin, L.",T6,8-5,2B,2,1-2,BIP,Slider,83,Fly Ball,Home Run,
3,"Gregory, B. VS Lavin, L.",Grand Canyon University vs Stanford University,,,,0:11.4,5/11/2025,"Gregory, B.","Lavin, L.",B5,8-7,1B-2B-3B,2,1-1,BIP,Fastball,89,Fly Ball,Flyout,
4,"Penzkover, G. VS Lavin, L.",Grand Canyon University vs Stanford University,,,,0:11.2,5/11/2025,"Penzkover, G.","Lavin, L.",B6,9-13," - ",2,3-2,BIP,Fastball,89,Fly Ball,Flyout,
5,"Higginbottom, E. VS Lavin, L.",Grand Canyon University vs Stanford University,,,,0:12.1,5/10/2025,"Higginbottom, E.","Lavin, L.",B8,10-6,1B,1,0-0,BIP,Fastball,87,Fly Ball,Flyout,
6,"Lyon, I. VS Lavin, L.",Grand Canyon University vs Stanford University,,,,0:11.8,5/9/2025,"Lyon, I.","Lavin, L.",B2,1-2," - ",2,0-0,BIP,Slider,82,Fly Ball,Home Run,
7,"Meyn, R. VS Lavin, L.",Stanford University vs Santa Clara University,,,,0:13.0,5/6/2025,"Meyn, R.","Lavin, L.",T2,4-0," - ",1,0-0,BIP,Fastball,85,Fly Ball,Home Run,
8,"Gonzalez, C. VS Lavin, L.",Stanford University vs Boston College,,,,0:10.6,5/4/2025,"Gonzalez, C.","Lavin, L.",T6,11-0,1B-2B,2,1-0,BIP,Changeup,84,Line Drive,Lineout,
9,"Mudd, T. VS Lavin, L.",Stanford University vs Boston College,,,,0:09.1,5/4/2025,"Mudd, T.","Lavin, L.",T9,11-5," - ",0,2-2,BIP,Fastball,87,Ground Ball,Groundout,
10,"Wooldridge, B. VS Lavin, L.",UC Davis vs Stanford University,,,,0:14.8,4/7/2025,"Wooldridge, B.","Lavin, L.",B2,0-2,1B,0,0-0,BIP,Fastball,86,Fly Ball,Home Run,
11,"Spivey, C. VS Lavin, L.",Georgia Tech vs Stanford University,,,,0:14.2,4/6/2025,"Spivey, C.","Lavin, L.",B2,4-0,1B,0,0-0,BIP,Fastball,89,Line Drive,Single,
12,"Royer, C. VS Lavin, L.",Georgia Tech vs Stanford University,,,,0:08.7,4/6/2025,"Royer, C.","Lavin, L.",B7,18-1," - ",0,1-1,BIP,Fastball,93,Line Drive,Single,
13,"Meyer, G. VS Lavin, L.",Stanford University vs Cal State Fullerton,,,,0:11.8,2/17/2025,"Meyer, G.","Lavin, L.",T9,5-7," - ",0,0-2,BIP,Fastball,93,Line Drive,Single,
14,"Wright, A. VS Lavin, L.",Stanford University vs Cal State Fullerton,,,,0:14.4,2/17/2025,"Wright, A.","Lavin, L.",T10,7-7,1B-3B,2,0-1,BIP,Slider,77,Line Drive,Single,
15,"Segura, E. VS Lavin, L.",Stanford University vs Oregon State University,,,,0:14.9,4/14/2024,"Segura, E.","Lavin, L.",T4,3-4," - ",1,1-0,BIP,Fastball,90,Fly Ball,Ground Rule Double,
16,"Kmatz, J. VS Lavin, L.",Stanford University vs Oregon State University,,,,0:13.8,4/13/2024,"Kmatz, J.","Lavin, L.",T2,1-0," - ",0,0-1,BIP,Fastball,91,Fly Ball,Flyout,
17,"Orloff, E. VS Lavin, L.",University of Arizona vs Stanford University,,,,0:12.3,4/8/2024,"Orloff, E.","Lavin, L.",B6,8-1," - ",1,1-2,BIP,Fastball,87,Fly Ball,Flyout,
18,"Wilford, C. VS Lavin, L.",Washington State University vs Stanford University,,,,0:17.1,4/6/2024,"Wilford, C.","Lavin, L.",B2,0-1," - ",0,2-2,BIP,Changeup,81,Line Drive,Double,
19,"Short, L. VS Lavin, L.",Stanford University vs University of California,,,,0:10.5,3/5/2024,"Short, L.","Lavin, L.",T2,0-0," - ",1,1-1,BIP,Fastball,88,Fly Ball,Flyout,
20,"Smith, P. VS Lavin, L.",Stanford University vs Rice University,,,,0:10.1,3/1/2024,"Smith, P.","Lavin, L.",T5,4-0,1B-3B,2,0-0,BIP,Fastball,92,Ground Ball,Groundout,
