,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Luke Lavin,3.233,3.433,,,0.242,0.36,0.387,0.2
Barrel Controller,3.299,3.5,,,,,,0.201
ACC,3.266,3.417,,,,,,0.151
,3.233,3.433,,,,,,0.2
,3.266,3.442,,,,,,0.176
,3.25,3.459,,,,,,0.209
,3.3,3.45,8.5,,,,,0.15
,3.266,3.433,10,,,,,0.167
,3.249,3.416,10,,,,,0.167
,3.316,3.475,,,,,,0.159
,3.266,3.433,,,,,,0.167
,3.217,3.416,,,,,,0.199
,3.266,3.433,9.5,,,,,0.167
,3.333,3.5,10,,,,,0.167
,3.299,3.466,,,,,,0.167
,3.3,3.467,,,,,,0.167
,3.266,3.433,,,,,,0.167
,3.3,3.467,,,,,,0.167
,3.267,3.433,,,,,,0.166
,3.266,3.417,9,,,,,0.151
