#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Vigue, D. VS Bussey, R.",University of Michigan vs Ohio State University,,,,0:09.0,5/4/2025,"Vigue, D.","Bussey, R.",B6,9-4," - ",1,0-0,BIP,Fastball,93,Ground Ball,Groundout,
2,"Thomas, P. VS Bussey, R.",Wright State University vs Ohio State University,,,,0:19.6,4/15/2025,"Thomas, P.","Bussey, R.",B4,2-12," - ",1,3-2,BIP,Fastball,87,Ground Ball,Triple,
3,"Sperry, J. VS Bussey, R.",University of Minnesota vs Ohio State University,,,,0:09.2,4/13/2025,"Sperry, J.","Bussey, R.",B7,4-4,1B,2,2-1,BIP,Fastball,88,Fly Ball,Flyout,
4,"Caughey, C. VS Bussey, R.",Kent State University vs Ohio State University,,,,0:10.2,4/9/2025,"Caughey, C.","Bussey, R.",B4,4-1," - ",0,3-1,BIP,Fastball,88,Ground Ball,Single,
5,"Hunter, C. VS Bussey, R.",Ohio State University vs University of Southern California,,,,0:08.9,4/4/2025,"Hunter, C.","Bussey, R.",T5,2-5," - ",0,1-2,BIP,Fastball,90,Line Drive,Lineout,
6,"Clarke, C. VS Bussey, R.",University of Oregon vs Ohio State University,,,,0:15.6,3/29/2025,"Clarke, C.","Bussey, R.",B2,4-1,3B,1,1-1,BIP,Fastball,89,Fly Ball,Sacrifice Fly,
7,"Cuthbertson, H. VS Bussey, R.",Miami University (OH) vs Ohio State University,,,,0:13.7,3/18/2025,"Cuthbertson, H.","Bussey, R.",B1,1-3,1B-2B-3B,1,1-2,BIP,Slider,81,Line Drive,Double,
8,"Harajli, A. VS Bussey, R.",Miami University (OH) vs Ohio State University,,,,0:15.5,3/18/2025,"Harajli, A.","Bussey, R.",B5,3-9,2B-3B,1,1-0,BIP,Fastball,93,Fly Ball,Home Run,
9,"Bales, B. VS Bussey, R.",Ohio State University vs Baylor University,,,,0:14.0,3/1/2025,"Bales, B.","Bussey, R.",T5,0-2," - ",0,3-1,BIP,Fastball,91,Line Drive,Double,
10,"Alcock, B. VS Bussey, R.",Ohio State University vs University of Alabama,,,,0:17.3,2/23/2025,"Alcock, B.","Bussey, R.",T3,0-0," - ",2,1-1,BIP,Slider,82,Line Drive,Single,
11,"Alba, J. VS Bussey, R.",Ohio State University vs Arizona State University,,,,0:14.0,2/16/2025,"Alba, J.","Bussey, R.",T2,2-3," - ",2,2-2,BIP,Fastball,94,Line Drive,Double,
12,"Daly, R. VS Bussey, R.",University of Illinois vs Ohio State University,,,,0:09.2,5/17/2025,"Daly, R.","Bussey, R.",B2,0-2," - ",2,2-2,BIP,Changeup,80,Ground Ball,Groundout,
13,"Daly, R. VS Bussey, R.",University of Illinois vs Ohio State University,,,,0:10.3,5/17/2025,"Daly, R.","Bussey, R.",B4,7-5," - ",1,1-0,BIP,Fastball,89,Fly Ball,Flyout,
14,"GANNON, R. VS Bussey, R.",University of Illinois vs Ohio State University,,,,0:09.9,5/17/2025,"GANNON, R.","Bussey, R.",B8,9-8," - ",0,3-2,BIP,Fastball,87,Ground Ball,Groundout,
15,"Schmitt, T. VS Bussey, R.",University of Illinois vs Ohio State University,,,,0:09.9,5/15/2025,"Schmitt, T.","Bussey, R.",B3,1-1," - ",0,3-1,BIP,Fastball,93,Ground Ball,Groundout,
16,"Schmitt, T. VS Bussey, R.",University of Illinois vs Ohio State University,,,,0:08.8,5/15/2025,"Schmitt, T.","Bussey, R.",B4,1-2," - ",2,0-1,BIP,Cutter,87,Ground Ball,Groundout,
17,"DYE, M. VS Bussey, R.",University of Illinois vs Ohio State University,,,,0:16.2,5/15/2025,"DYE, M.","Bussey, R.",B9,4-2,1B,0,3-1,BIP,Changeup,0,Line Drive,Single,
18,"Fithian, L. VS Bussey, R.",Rutgers University vs Ohio State University,,,,0:09.8,4/27/2025,"Fithian, L.","Bussey, R.",B8,10-4,1B,1,0-2,BIP,Changeup,84,Line Drive,Single,
19,"Berglin, Q. VS Bussey, R.",Rutgers University vs Ohio State University,,,,0:08.1,4/26/2025,"Berglin, Q.","Bussey, R.",B1,2-4,1B-2B,2,3-2,BIP,Fastball,84,Ground Ball,Groundout,
20,"Ryan, D. VS Bussey, R.",Rutgers University vs Ohio State University,,,,0:10.3,4/26/2025,"Ryan, D.","Bussey, R.",B4,6-6," - ",0,2-1,BIP,Fastball,86,Ground Ball,Single,
