,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Reggie Bussey,3.283,3.417,,,0.263,0.398,0.358,0.134
On-Baser,3.3,3.467,,,,,,0.167
Big 10,3.25,3.417,,,,,,0.167
,3.233,3.4,,,,,,0.167
,3.283,3.417,,,,,,0.134
,3.25,3.4,,,,,,0.15
,3.3,3.467,,,,,,0.167
,3.283,3.45,,,,,,0.167
,3.233,3.434,,,,,,0.201
,3.3,3.484,,,,,,0.184
,3.266,3.425,9.5,,,,,0.159
,3.316,3.483,,Medium,,,,0.167
,3.25,3.4,,,,,,0.15
,3.3,3.45,,,,,,0.15
,3.25,3.4,,,,,,0.15
,3.283,3.433,,,,,,0.15
,3.333,3.483,,,,,,0.15
,3.3,3.467,,,,,,0.167
,3.283,3.45,,,,,,0.167
,3.283,3.45,,,,,,0.167
