#,Title,Notes,Chat,Tags,Text Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners On Base,Outs,Count,Pitch Result,Pitch Type,Velocity (MPH),BIP Type,BIP Result,Non-BIP Result
1,"Doyle, L. VS Farmer IV, T.",University of Tennessee vs University of Texas,,,,0:12.0,5/22/2025,"Doyle, L.","Farmer IV, T.",B2,0-1," - ",1,0-1,BIP,Cutter,89,Line Drive,Single,
2,"Crooks, D. VS Farmer IV, T.",University of Texas vs University of Oklahoma,,,,0:12.6,5/15/2025,"Crooks, D.","Farmer IV, T.",T9,4-4," - ",0,3-2,BIP,Slider,83,Line Drive,Double,
3,"King, A. VS Farmer IV, T.",University of Florida vs University of Texas,,,,0:11.2,5/11/2025,"King, A.","Farmer IV, T.",B3,2-0," - ",0,0-1,BIP,Slider,82,Fly Ball,Flyout,
4,"Rodriguez, C. VS Farmer IV, T.",University of Florida vs University of Texas,,,,0:09.7,5/10/2025,"Rodriguez, C.","Farmer IV, T.",B5,2-0,1B,0,1-1,BIP,Fastball,93,Ground Ball,Fielder's Choice - Out,
5,"Rowland, B. VS Farmer IV, T.",University of Florida vs University of Texas,,,,0:13.6,5/10/2025,"Rowland, B.","Farmer IV, T.",B8,2-5," - ",2,0-2,BIP,Slider,80,Ground Ball,Double,
6,"Patton, M. VS Farmer IV, T.",Texas A&M University vs University of Texas,,,,0:14.0,4/27/2025,"Patton, M.","Farmer IV, T.",B3,2-0," - ",0,3-2,BIP,Fastball,90,Ground Ball,Double,
7,"Patton, M. VS Farmer IV, T.",Texas A&M University vs University of Texas,,,,0:12.1,4/27/2025,"Patton, M.","Farmer IV, T.",B4,4-2,1B,1,0-0,BIP,Fastball,90,Fly Ball,Flyout,
8,"Moss, W. VS Farmer IV, T.",Texas A&M University vs University of Texas,,,,0:13.1,4/25/2025,"Moss, W.","Farmer IV, T.",B7,0-1," - ",1,0-0,BIP,Slider,79,Fly Ball,Home Run,
9,"Dudley, B. VS Farmer IV, T.",University of Texas vs Texas State University,,,,0:10.0,4/22/2025,"Dudley, B.","Farmer IV, T.",T6,4-5," - ",0,1-1,BIP,Slider,86,Line Drive,Lineout,
10,"Hetzler, R. VS Farmer IV, T.",Auburn University vs University of Texas,,,,0:08.7,4/19/2025,"Hetzler, R.","Farmer IV, T.",B3,1-7," - ",0,3-1,BIP,Slider,81,Ground Ball,Single,
11,"Fisher, C. VS Farmer IV, T.",Auburn University vs University of Texas,,,,0:14.1,4/18/2025,"Fisher, C.","Farmer IV, T.",B3,0-0," - ",0,1-1,BIP,Slider,75,Line Drive,Double,
12,"Rouse, S. VS Farmer IV, T.",University of Texas vs University of Kentucky,,,,0:19.3,4/11/2025,"Rouse, S.","Farmer IV, T.",T7,1-2,1B,0,0-1,BIP,Fastball,90,Ground Ball,Single,
13,"Cyr, J. VS Farmer IV, T.",Houston Christian University vs University of Texas,,,,0:10.1,4/8/2025,"Cyr, J.","Farmer IV, T.",B3,2-7,1B,0,1-1,BIP,Changeup,80,Fly Ball,Flyout,
14,"Zeldin, B. VS Farmer IV, T.",University of Georgia vs University of Texas,,,,0:15.9,4/6/2025,"Zeldin, B.","Farmer IV, T.",B9,3-3," - ",0,1-2,BIP,Curveball,83,Line Drive,Double,
15,"Lucas, B. VS Farmer IV, T.",University of Texas vs University of Missouri,,,,0:10.6,3/29/2025,"Lucas, B.","Farmer IV, T.",T8,7-4," - ",2,1-0,BIP,Changeup,83,Fly Ball,Flyout,
16,"Anderson, K. VS Farmer IV, T.",Louisiana State University vs University of Texas,,,,0:12.4,3/21/2025,"Anderson, K.","Farmer IV, T.",B5,2-1," - ",1,2-2,BIP,Cutter,88,Line Drive,Single,
17,"Kohn, P. VS Farmer IV, T.",University of Texas vs Mississippi State University,,,,0:08.7,3/14/2025,"Kohn, P.","Farmer IV, T.",T6,2-4," - ",0,2-1,BIP,Fastball,92,Line Drive,Lineout,
18,"Martinez, V. VS Farmer IV, T.",Santa Clara University vs University of Texas,,,,0:16.2,3/8/2025,"Martinez, V.","Farmer IV, T.",B1,0-1,1B-3B,2,1-1,BIP,Fastball,87,Ground Ball,Double,
19,"Martinez, V. VS Farmer IV, T.",Santa Clara University vs University of Texas,,,,0:12.9,3/8/2025,"Martinez, V.","Farmer IV, T.",B3,0-3," - ",0,3-2,BIP,Fastball,85,Ground Ball,Single,
20,"Banks, M. VS Farmer IV, T.",University of Washington vs University of Texas,,,,0:11.2,2/28/2025,"Banks, M.","Farmer IV, T.",B5,1-2," - ",2,0-0,BIP,Cutter,90,Line Drive,Single,
