,Time Start,Time End,Clicks,,AVG,OBP,SLG,Swing Time
Tommy Farmer IV,3.212,3.445,,,0.247,0.362,0.339,0.233
Run Producer,3.283,3.467,11,,,,,0.184
SEC,3.283,3.47,11,,,,,0.187
,3.25,3.417,10,,,,,0.167
,3.3,3.467,,,,,,0.167
,3.266,3.417,9,,,,,0.151
,3.3,3.46,9.5,,,,,0.16
,3.316,3.475,9.5,,,,,0.159
,3.267,3.434,10,,,,,0.167
,3.35,3.517,,,,,,0.167
,3.367,3.559,10.5,,,,,0.192
,3.283,3.425,8.5,,,,,0.142
,3.333,3.492,9.5,,,,,0.159
,3.3,3.467,,,,,,0.167
,3.333,3.484,9,,,,,0.151
,3.25,3.433,11,,,,,0.183
,3.25,3.4,9,,,,,0.15
,3.283,3.442,9.5,,,,,0.159
,3.283,3.45,10,,,,,0.167
,3.333,3.517,,,,,,0.184
