,Time Start,Time End,Clicks,,AVG,OBP,SLG
"Austin, R.",0.000,0.133,8.000,,0.257,0.353,0.383
,0.000,0.150,9.000,,,,
,0.000,0.150,9.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.142,8.500,,,,
