,Time Start,Time End,Clicks,,AVG,OBP,SLG
"Condon, C.",0.000,0.133,8.000,,0.433,0.556,1.009
,0.000,0.150,9.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.117,7.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.150,9.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.117,7.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.133,8.000,,,,
