,Time Start,Time End,Clicks,,AVG,OBP,SLG
"Lebron, J.",0.000,0.133,8.000,,0.316,0.421,0.636
,0.000,0.150,9.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.150,9.000,,,,
,0.000,0.150,9.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.150,9.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.150,9.000,,,,
,0.000,0.150,9.000,,,,
,0.000,0.142,8.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.158,9.500,,,,
