,Time Start,Time End,Clicks,,AVG,OBP,SLG
"Madera, A",0.000,0.133,8.000,,0.332,0.432,0.403
,0.000,0.133,8.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.117,7.000,,,,
,0.000,0.125,7.500,,,,
,0.000,0.142,8.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.117,7.000,,,,
,0.000,0.133,8.000,,,,
,0.000,0.108,6.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.125,7.500,,,,
,0.000,0.133,8.000,,,,
,0.000,0.133,8.000,,,,
