sample_size,mean_accuracy,mean_metric_accuracy,mean_ks_similarity,std_accuracy,min_accuracy,p90_accuracy,p95_accuracy
5,0.7851174741269933,0.7898016149206533,0.7804333333333334,0.07855833725934841,0.41560062526166935,0.881629249862991,0.8883260502996305
6,0.812979697115996,0.8192927275653253,0.8066666666666668,0.07400813230363006,0.49792107960566545,0.9159034624760032,0.9251954791435277
7,0.8251636177628038,0.8330653307637026,0.817261904761905,0.06312462718323902,0.6164057063326375,0.9037255651136415,0.9153278835258949
8,0.8360975481969717,0.8374617630606104,0.8347333333333333,0.05574613601091222,0.649131446356053,0.905834837190665,0.9174304407212858
9,0.8380751607295065,0.8264280992367907,0.8497222222222224,0.05499443094160782,0.5777020314459456,0.913539216346076,0.9140611370141345
10,0.853824630886089,0.8495492617721777,0.8581000000000001,0.056440256966421916,0.6640533479478211,0.9200403859799514,0.9419855673532753
11,0.8684968945158965,0.8653695466075505,0.8716242424242424,0.04992780602880867,0.7107316645268233,0.9405079194917557,0.942446851723197
12,0.8685756425690686,0.8577012851381371,0.8794500000000001,0.046417244697863604,0.6614747069543085,0.9292102849453614,0.9422737359274989
13,0.8673658969232586,0.8465702553849788,0.8881615384615386,0.045059219554259,0.6669580771765115,0.9202921691746723,0.9346263008476288
14,0.8806780873700624,0.8679180795020295,0.8934380952380955,0.04615535503141728,0.707832137317161,0.9321048609610432,0.9625808191150333
15,0.8897769007487524,0.8772871348308382,0.9022666666666669,0.043528117822776685,0.7105970173914664,0.9565874778653723,0.9571093985334308
16,0.8900343516334026,0.872322869933472,0.9077458333333334,0.04051208105341557,0.7484327747962287,0.9441730916182054,0.9504922968240233
17,0.8882627708458294,0.8617000514955803,0.9148254901960786,0.039851487606904996,0.7574580463715841,0.9318441737750521,0.9407856621279909
18,0.9014730332404369,0.8816460664808737,0.9213000000000002,0.042969068836580866,0.7519665113886542,0.955727803680801,0.9685139221921464
19,0.9050325383110455,0.8867949011834942,0.9232701754385965,0.041553621438657554,0.7507420735291559,0.9645542729632485,0.9737899585547558
20,0.9067920017545625,0.8820340035091249,0.93155,0.03716650769326304,0.7696405840646598,0.9550523492876855,0.9593948751782407
21,0.9052022425095791,0.8739044850191583,0.9365000000000001,0.03425934714925857,0.7796972146469889,0.9388550691690349,0.940310113306285
22,0.9173658257954973,0.8953407425000857,0.9393909090909092,0.03782382851743398,0.7778767114906466,0.9705386629932548,0.9841135183898635
23,0.9255514349754403,0.9052927250233445,0.9458101449275361,0.03808679817859581,0.7967718676163461,0.9773983654674405,0.977920286135499
24,0.9240659180241212,0.8958568360482425,0.952275,0.032958513036160327,0.8219934558482113,0.9655742375647346,0.9656136423298676
25,0.9207410117096763,0.8852020234193526,0.95628,0.029321130412383992,0.8163642119523624,0.942882850772102,0.9445512603158855
26,0.9388532694581305,0.9171475645572867,0.9605589743589744,0.03144359311348804,0.8213398763138768,0.9862340871759068,0.9874158711337698
27,0.9478690402255248,0.9293491915621606,0.9663888888888887,0.03094556125710069,0.8627428064785881,0.9818479620691403,0.9825833638915282
28,0.9457011210140106,0.9177308134565928,0.9736714285714286,0.023615780340490306,0.8875938146589251,0.9672964162644266,0.9672964162644266
29,0.9463462320805812,0.9116177515174847,0.9810747126436784,0.006035468610546315,0.9347234101674169,0.9515920861878983,0.9515920861878983
