sample_size,mean_accuracy,mean_metric_accuracy,mean_ks_similarity,std_accuracy,min_accuracy,p90_accuracy,p95_accuracy
5,0.7786095559002172,0.786585778467101,0.7706333333333334,0.097602910307231,0.47110174705851854,0.8982346293790477,0.9673217113377262
6,0.796746366065872,0.795992732131744,0.7975,0.07723313849282293,0.49463264678358754,0.90619833158164,0.9116387079390312
7,0.8164852084876919,0.8205085122134792,0.8124619047619048,0.08011031807270541,0.5697634611765962,0.9298790919773946,0.9393562460267663
8,0.816026049252381,0.806202098504762,0.82585,0.077664255206537,0.5268360692593169,0.9064694996502983,0.9125255928213218
9,0.8248578759484599,0.8090935296746977,0.8406222222222223,0.08753251740352731,0.5472892931163785,0.9379417639980814,0.9503150560812919
10,0.8340321494062867,0.8190642988125733,0.8490000000000002,0.0744946805875328,0.5857588740204571,0.9213759689154652,0.9441274743628182
11,0.8490340089422239,0.8325831693995994,0.8654848484848485,0.07116175597748063,0.6331600021204226,0.937317984418337,0.9541357105573407
12,0.8492585118889178,0.8234836904445024,0.8750333333333333,0.07758317166058014,0.5908743972532235,0.9401730126506515,0.943060946703455
13,0.8613362529190626,0.841749428915048,0.8809230769230771,0.08460357651724978,0.5560420270063557,0.9597768482973018,0.9714013114295368
14,0.866653024843239,0.8424203354007638,0.8908857142857145,0.0719947873709312,0.5893521553802887,0.956040152259485,0.9675238549737699
15,0.8734867202658452,0.8485401071983569,0.8984333333333335,0.0678137846939398,0.6500616696809984,0.9554220576021749,0.9784533164533324
16,0.8748793108679395,0.8485044550692125,0.9012541666666667,0.06601390804237807,0.616326927193271,0.9452263808988001,0.9583679082704233
17,0.8860333078772482,0.8609489686956731,0.9111176470588237,0.07860217635901852,0.6280592496773096,0.9729780151359435,0.9788871404767098
18,0.8900708151317686,0.8628638524857595,0.917277777777778,0.06726321424942389,0.6542125356022831,0.9745418728317378,0.9798520039668314
19,0.8957463362246272,0.8700312689404823,0.9214614035087719,0.05874935511672245,0.6765968725182946,0.9689032944892035,0.973861837462787
20,0.9002766628364475,0.8730866590062283,0.9274666666666666,0.06119974007647941,0.657378499791577,0.9670367392126327,0.9773728136181064
21,0.9086879823912434,0.8844426314491534,0.9329333333333334,0.07195949066466285,0.6729460880324295,0.9781959981758315,0.9796060690710998
22,0.916344114748841,0.8944458052552577,0.9382424242424242,0.057778688038838094,0.7204858764956321,0.9771058385312352,0.9794640819766103
23,0.9191726660026288,0.894459824758881,0.9438855072463769,0.05315484969763614,0.7608993223859499,0.9827168201851142,0.9861197428229109
24,0.926082033158839,0.9047640663176779,0.9473999999999999,0.04853900103690931,0.7839767380898384,0.9770266977396824,0.9810463177719294
25,0.9435023696951915,0.9336447393903831,0.9533599999999999,0.05484410536177496,0.8013963616969693,0.9826285829913566,0.993738015987618
26,0.9457239143351043,0.9331785979009778,0.9582692307692308,0.04533444670671391,0.8460114661705727,0.9890309758479578,0.989799362133652
27,0.9511462430441009,0.9379073009030164,0.9643851851851852,0.032594066900836605,0.8730862888329689,0.9857472373685257,0.9915637685127088
28,0.9636021787651419,0.9556234051493313,0.9715809523809521,0.017162577125065474,0.9253465496003833,0.986114728713374,0.9895211331444267
29,0.9872074578624349,0.9951643410122263,0.9792505747126435,0.004801755481502749,0.972708327344519,0.9916348476464039,0.9916348476464039
