sample_size,mean_accuracy,mean_metric_accuracy,mean_ks_similarity,std_accuracy,min_accuracy,p90_accuracy,p95_accuracy
5,0.8019664214029751,0.8202661761392833,0.7836666666666667,0.09892500796762389,0.45238977402035685,0.9248515535142021,0.9379296367612577
6,0.8205982634167762,0.8359631935002191,0.8052333333333334,0.07963877716586885,0.46483516483516485,0.9140024374790036,0.9164953102890094
7,0.8425711436105044,0.8525899062686281,0.8325523809523812,0.08046057168137409,0.5358798026201275,0.951302269007725,0.9519110670795043
8,0.8482990093980725,0.8583146854628116,0.8382833333333333,0.07255613348867516,0.5652930402930403,0.9346373636410705,0.946333758259572
9,0.8661314397061958,0.8776628794123917,0.8546000000000001,0.07841161992213946,0.5847065340574347,0.9574481074481075,0.9604228278251674
10,0.872955893598389,0.8826784538634445,0.8632333333333336,0.06364946559319107,0.5884267819106148,0.9379296367612577,0.9628192725194987
11,0.8835694719739938,0.8943359136449572,0.8728030303030303,0.057039994441935735,0.6927460918511106,0.9444293567017447,0.9520506007694451
12,0.8877158853173087,0.898081770634617,0.8773500000000001,0.05843388686480483,0.6698726849042541,0.9499252927064189,0.9689724011235141
13,0.8973030586286622,0.9067343223855296,0.8878717948717949,0.0680297632109014,0.6917126496247495,0.9661514884460504,0.9758728452669696
14,0.8990835871680258,0.9031671743360516,0.8950000000000002,0.0576944096640611,0.6594206388661963,0.9630161366429508,0.9672347977107172
15,0.9108026150171111,0.9173385633675557,0.9042666666666669,0.050841373597544884,0.7234884564669004,0.9619191041456703,0.9814955814115405
16,0.9115477423368346,0.9140538180070024,0.9090416666666667,0.05415013671827736,0.7353479548500581,0.9621723212432574,0.9671630962639596
17,0.9193204074048469,0.9250859128489092,0.9135549019607845,0.06148355600113579,0.6982689317029873,0.9733008253242721,0.9811774756212623
18,0.9246225806716334,0.9269007168988223,0.9223444444444446,0.04999236895865128,0.720372147227619,0.9760747457894692,0.9786539430127448
19,0.9331231386136639,0.939846277227328,0.9264000000000001,0.044459872959698526,0.7680445803244281,0.9735388997988468,0.977609002941094
20,0.9360702943034139,0.9398239219401611,0.9323166666666666,0.044932227433564495,0.7603351376181118,0.9794266012764579,0.9816610947881852
21,0.9463854414414202,0.9553089781209357,0.9374619047619048,0.0471241615405407,0.7668131218021368,0.9821593393798627,0.9828372837200068
22,0.949008483865844,0.9560078768225971,0.9420090909090909,0.04019928396830649,0.7775473629333286,0.9822695189848982,0.9849596638742549
23,0.9533451259225589,0.9594627156132338,0.9472275362318839,0.033038865819346806,0.7802823640297178,0.9844807177272076,0.9863443661292083
24,0.9602779560620655,0.9699059121241307,0.9506499999999999,0.02374205429027284,0.807048292151253,0.9841277363581069,0.985551427711503
25,0.970962892313241,0.9860591179598153,0.9558666666666666,0.013770034505715595,0.8030847597363213,0.9840460766199317,0.9883489581836875
26,0.974310949792961,0.9874885662525886,0.9611333333333333,0.011613373925036764,0.9035088151592425,0.9867150102718092,0.9871698201141533
27,0.9778290682635264,0.9896322106011273,0.9660259259259258,0.008679927954603987,0.9290992378472649,0.9906673437289304,0.9906673437289305
28,0.9827763186499213,0.9923454944426996,0.9732071428571427,0.007055869576950536,0.9441317818074266,0.9899801408628639,0.9899801408628639
29,0.98767235818833,0.9952723025835569,0.9800724137931034,0.005119616234138141,0.9739509709215819,0.9915587566466727,0.9915587566466727
